"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","BTN_STAB","done","0001_As_Kh_Qd","201","145","483873814344406","16877",""
"2","As Kh Jd","BTN_STAB","done","0002_As_Kh_Jd","202","140","4942527115345","15108",""
"3","As Kh Td","BTN_STAB","done","0003_As_Kh_Td","203","150","470507711172104","16765",""
"4","As Kh 9d","BTN_STAB","done","0004_As_Kh_9d","203","140","498984426259995","15651",""
"5","As Kh 8d","BTN_STAB","done","0005_As_Kh_8d","204","137","464913308620453","15575",""
"6","As Kh 7d","BTN_STAB","done","0006_As_Kh_7d","204","140","483700305223465","15230",""
"7","As Kh 6d","BTN_STAB","done","0007_As_Kh_6d","203","140","484129846096039","15977",""
"8","As Kh 5d","BTN_STAB","done","0008_As_Kh_5d","204","137","470813602209091","15580",""
"9","As Kh 4d","BTN_STAB","done","0009_As_Kh_4d","206","137","473791629076004","15584",""
"10","As Kh 3d","BTN_STAB","done","0010_As_Kh_3d","207","137","46992152929306","15754",""
"11","As Kh 2d","BTN_STAB","done","0011_As_Kh_2d","208","137","498139292001724","15632",""
"12","As Qh Jd","BTN_STAB","done","0012_As_Qh_Jd","200","129","472518861293793","14464",""
"13","As Qh Td","BTN_STAB","done","0013_As_Qh_Td","201","137","457861959934235","15057",""
"14","As Qh 9d","BTN_STAB","done","0014_As_Qh_9d","201","137","473327994346619","16216",""
"15","As Qh 8d","BTN_STAB","done","0015_As_Qh_8d","202","137","465749770402908","16195",""
"16","As Qh 7d","BTN_STAB","done","0016_As_Qh_7d","202","145","493730932474136","16150",""
"17","As Qh 6d","BTN_STAB","done","0017_As_Qh_6d","201","150","490589499473572","16600",""
"18","As Qh 5d","BTN_STAB","done","0018_As_Qh_5d","202","145","498115450143814","16729",""
"19","As Qh 4d","BTN_STAB","done","0019_As_Qh_4d","204","145","491812974214554","16155",""
"20","As Qh 3d","BTN_STAB","done","0020_As_Qh_3d","205","137","496826171875","15620",""
"21","As Qh 2d","BTN_STAB","done","0021_As_Qh_2d","206","137","48680192232132","15646",""
"22","As Jh Td","BTN_STAB","done","0022_As_Jh_Td","203","129","465262860059738","14831",""
"23","As Jh 9d","BTN_STAB","done","0023_As_Jh_9d","203","137","459552377462387","16332",""
"24","As Jh 8d","BTN_STAB","done","0024_As_Jh_8d","204","129","47674897313118","15176",""
"25","As Jh 7d","BTN_STAB","done","0025_As_Jh_7d","204","140","492962300777435","16147",""
"26","As Jh 6d","BTN_STAB","done","0026_As_Jh_6d","203","145","495256811380386","16851",""
"27","As Jh 5d","BTN_STAB","done","0027_As_Jh_5d","204","137","46154460310936","16245",""
"28","As Jh 4d","BTN_STAB","done","0028_As_Jh_4d","206","129","468123137950897","15095",""
"29","As Jh 3d","BTN_STAB","done","0029_As_Jh_3d","207","129","474766045808792","15125",""
"30","As Jh 2d","BTN_STAB","done","0030_As_Jh_2d","208","129","488921850919724","14715",""
"31","As Th 9d","BTN_STAB","done","0031_As_Th_9d","204","137","461973160505295","16061",""
"32","As Th 8d","BTN_STAB","done","0032_As_Th_8d","205","129","473737984895706","15173",""
"33","As Th 7d","BTN_STAB","done","0033_As_Th_7d","205","137","489941298961639","16109",""
"34","As Th 6d","BTN_STAB","done","0034_As_Th_6d","204","140","490345865488052","15732",""
"35","As Th 5d","BTN_STAB","done","0035_As_Th_5d","205","140","483931601047516","16806",""
