hand,flop5,reach,solver_F_pct,candidate_F_pct,solver_C_pct,candidate_C_pct,solver_R_pct,candidate_R_pct,source_loss_bb,oracle_regret_bb,p99_oracle_regret_bb,max_oracle_regret_bb
Two pair+,ABB,20022.35796,0.0,0.0,56.828743195349,50.0,43.17125638356673,50.0,0.0023320037153106822,0.008263491232600553,0.044620000000000104,0.14756
Two pair+,Axx,54381.429275,0.0,0.0,26.870495282624493,50.0,73.12950388785059,50.0,0.02724679412290169,0.03183824600326519,0.22410000000000138,1.0387
Two pair+,BBB,15916.66724,0.0,0.0,64.10843697155553,50.0,35.89156239209704,50.0,0.004063972630166883,0.009812428897731347,0.0823599999999999,0.1353200000000001
Two pair+,Bxx,190427.81617,0.0,0.0,20.36255261229684,0.0,79.63744748804093,99.99999999999999,0.0017929361557223959,0.005317778129317915,0.062299999999999044,0.3030799999999999
Two pair+,[9-2]xx,42470.526609,0.0,0.0,29.571651368595585,50.00000000000001,70.42834799167446,50.00000000000001,0.014185173480987495,0.023194286328211015,0.384099999999998,0.6271500000000003
Overpair,Bxx,8350.6436,0.0,0.0,65.97092496469374,50.0,34.02907699015199,50.0,0.000976325740514805,0.0042823199768697974,0.013654999999999973,0.014014999999999844
Overpair,[9-2]xx,46418.1919,0.0,0.0,81.44683285176345,100.0,18.55316719633601,0.0,-0.0009626388997315983,0.0006544561298174998,0.01115000000000066,0.02210000000000001
Top pair,ABB,14606.7424,9.24337511260827,0.0,86.03199358335505,100.0,4.724632660968951,0.0,-0.0023430232193331125,0.00037401090275269056,0.0079134,0.011300300000000001
Top pair,Axx,210233.142416,0.0,0.0,96.195736660557,100.0,3.804262874313555,0.0,-0.00016474507614607794,0.0006116781722028962,0.011979999999999791,0.17400999999999983
Top pair,BBB,6979.6252,30.69347205668436,32.857629661833414,67.46097648379313,67.14237033816657,1.8455514595224967,0.0,0.00029925121224144973,0.002492264098420356,0.031335600000000005,0.031335600000000005
Top pair,Bxx,520191.17496,0.0005612922953228719,0.0,90.02879481857835,100.0,9.970643828177927,0.0,-0.00015997631549013915,0.001116945908919691,0.018850000000000477,0.27235000000000015
