flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,336,13910.779220000002,0.878119856867284,0.10239431442901233,0.01948583703703704,F,0.018509526370342085,0.703138382096
ABB,Top pair,6,252,5993.36062,0.014155572222222223,0.9371193433760684,0.048725078846153846,C,0.0009879437441967442,0.05619412449629999
ABB,Air,6,220,3350.599230999999,0.9982072380952381,0.0017927619047619046,0.0,F,0.0,0.0
ABB,Second pair,6,93,2781.889859999998,0.06603387632275132,0.8133381158730159,0.1206280152116402,C,0.00517736214402552,0.2305447
ABB,Gutshot,6,64,785.7576230000002,0.24316271527777777,0.6574832013888889,0.0993541076388889,C,0.11688305577852978,1.0194828
ABB,Two pair+,6,163,4359.694940000001,0.0,0.757531724791523,0.2424682959426041,C,0.0009498580772099398,0.020301356400000258
ABB,Third pair,6,60,1705.85662,0.12281336111111112,0.7362753796296296,0.14091122685185187,C,0.012982945317163272,0.5044601
A[K/Q]x,Weak pair,16,912,35344.81059999998,0.837931328587963,0.15300273506944445,0.00906592476851852,F,0.0008499079707357099,0.0332049769614
A[K/Q]x,Top pair,16,744,16997.15890999998,0.0,0.9038168905381944,0.09618310269097223,C,0.0005846169786401324,0.019697509050000405
A[K/Q]x,Air,16,660,8886.097220000016,0.9200099480975622,0.07719505217074592,0.0027949970170454545,F,0.003890477853462504,0.389243
A[K/Q]x,Second pair,16,330,9309.642479999997,0.0020808715277777774,0.849538917782738,0.1483802085813492,C,0.0009666412446829147,0.029882405189999517
A[K/Q]x,Third pair,14,144,1863.1239600000006,0.00019065119047619045,0.45301099047619037,0.5467983642857145,R/C,0.006773166510025845,0.2550899999999999
A[K/Q]x,Two pair+,16,236,5230.1334499999975,0.0,0.5602192140668766,0.4397807689513306,C/R,0.005167040158930462,0.16359999999999958
A[K/Q]x,Gutshot,16,228,7247.031599999996,0.0,0.6196155640625,0.3803844424479167,C/R,0.0010895775264120498,0.08170984728999997
ABB,OESD,3,16,135.81041000000002,0.024664500000000002,0.8679117500000001,0.10742375,C,0.003341375669971105,0.01956557133999972
A[K/Q]x,OESD,2,8,152.2798,0.0,0.6290591249999999,0.370940875,C/R,0.0,0.0
ABB,Underpair,1,6,27.358890000000002,0.0,0.6735056666666667,0.32649433333333333,C,0.0003977965551859579,0.0023475059199999037
A[J-T][9-5],Weak pair,10,450,12549.459489999996,0.9401093651785715,0.05891030505952381,0.0009803184523809523,F,0.0003046608682003205,0.0092549604623
A[J-T][9-5],Top pair,10,495,8136.161629999992,0.0,0.9214305881481482,0.07856941592592591,C,0.0011724722804153105,0.0488062622399994
A[J-T][9-5],Air,10,300,2878.518588,0.9165948044047619,0.08053114003968254,0.0028740502777777773,F,0.0069484501702311435,0.298779529757
A[J-T][9-5],Gutshot,10,276,5299.370589999998,0.003097615873015873,0.7415840100694444,0.2553183612103175,C,0.0026851197006497523,0.5770908458159999
A[J-T][9-5],Third pair,10,123,1196.5403399999998,0.021770033333333334,0.6606264072222222,0.3176035677777777,C,0.003775942905174198,0.10617000000000001
A[J-T][9-5],OESD,5,40,468.19416000000007,0.0,0.4792902333333333,0.5207097666666666,R/C,0.007723833968536861,0.3438200000000002
A[J-T][9-5],Two pair+,10,141,3090.9820199999995,0.0,0.6075972931527349,0.392402707373581,C/R,0.0005546660032736013,0.008533212839999749
A[J-T][9-5],Second pair,10,126,2777.2231899999992,0.018176189444444445,0.6746237688888889,0.30720003333333334,C,0.005833727378032736,0.08921412911999997
A[J-T][9-5],Underpair,10,90,1653.5138300000006,0.11807699166666667,0.8810103333333332,0.0009126916666666667,C,0.010065058935645287,0.052009022354800004
A[J-T][4-2],Weak pair,6,270,10381.175500000003,0.8250137638888888,0.16636982093253969,0.008616420634920635,F,0.0016129097752967964,0.027534691803
A[J-T][4-2],Top pair,6,297,6092.97997,0.0,0.9057430833333334,0.0942569172839506,C,0.0008379204276506737,0.019192912230000303
A[J-T][4-2],Gutshot,6,176,4384.242899999998,0.0,0.6463416599702381,0.3536583459821428,C/R,0.0019062903328365393,0.03669917520000006
A[J-T][4-2],Two pair+,6,81,2008.9999400000006,0.0,0.4770127470588235,0.5229872598039215,R/C,0.0019238831138810478,0.05240000000000009
A[J-T][4-2],Third pair,4,18,224.23823999999996,0.0,0.3746705416666667,0.6253294583333333,R/C,0.009258367761278176,0.09839460601200009
A[J-T][4-2],Air,6,268,3197.386560000001,0.907034453030303,0.09099394090909091,0.0019715901515151516,F,0.004789450063805724,0.23342683286
A[J-T][4-2],Second pair,6,81,2171.0160399999995,0.0,0.6785772722222223,0.32142275,C,0.004570929456885707,0.0835193498399999
A[J-T][4-2],Underpair,6,54,1242.1091000000004,0.09275770833333334,0.9072422916666666,0.0,C,0.010311105358121674,0.0394727930313
A[9-7]x,Weak pair,18,552,12143.560899999995,0.7010690194444444,0.2830043604938271,0.015926629320987654,F,0.013542517592983205,0.146856052169
