"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","BB_FIRST","done","0001_As_Kh_Qd","355","137","459381461143494","22295",""
"2","As Kh Jd","BB_FIRST","done","0002_As_Kh_Jd","355","129","475701421499252","20947",""
"3","As Kh Td","BB_FIRST","done","0003_As_Kh_Td","351","129","449933171272278","20616",""
"4","As Kh 9d","BB_FIRST","done","0004_As_Kh_9d","360","120","469368129968643","21262",""
"5","As Kh 8d","BB_FIRST","done","0005_As_Kh_8d","363","120","472353994846344","21677",""
"6","As Kh 7d","BB_FIRST","done","0006_As_Kh_7d","362","120","485029220581055","21454",""
"7","As Kh 6d","BB_FIRST","done","0007_As_Kh_6d","362","120","473539173603058","20318",""
"8","As Kh 5d","BB_FIRST","done","0008_As_Kh_5d","362","120","467311680316925","21029",""
"9","As Kh 4d","BB_FIRST","done","0009_As_Kh_4d","364","129","466793209314346","22147",""
"10","As Kh 3d","BB_FIRST","done","0010_As_Kh_3d","366","129","470012336969376","21926",""
"11","As Kh 2d","BB_FIRST","done","0011_As_Kh_2d","367","129","47142031788826","22185",""
"12","As Qh Jd","BB_FIRST","done","0012_As_Qh_Jd","356","129","475405752658844","22037",""
"13","As Qh Td","BB_FIRST","done","0013_As_Qh_Td","352","129","450866848230362","20853",""
"14","As Qh 9d","BB_FIRST","done","0014_As_Qh_9d","361","129","474275231361389","21957",""
"15","As Qh 8d","BB_FIRST","done","0015_As_Qh_8d","364","129","47395446896553","21979",""
"16","As Qh 7d","BB_FIRST","done","0016_As_Qh_7d","363","130","491401493549347","23205",""
"17","As Qh 6d","BB_FIRST","done","0017_As_Qh_6d","363","137","449639230966568","23658",""
"18","As Qh 5d","BB_FIRST","done","0018_As_Qh_5d","363","137","48479688167572","22963",""
"19","As Qh 4d","BB_FIRST","done","0019_As_Qh_4d","365","145","482577413320541","24115",""
"20","As Qh 3d","BB_FIRST","done","0020_As_Qh_3d","367","145","485138446092606","25157",""
"21","As Qh 2d","BB_FIRST","done","0021_As_Qh_2d","368","150","473089247941971","25793",""
"22","As Jh Td","BB_FIRST","done","0022_As_Jh_Td","352","130","496709108352661","21381",""
"23","As Jh 9d","BB_FIRST","done","0023_As_Jh_9d","361","150","478042244911194","25036",""
"24","As Jh 8d","BB_FIRST","done","0024_As_Jh_8d","364","145","471517384052277","23931",""
"25","As Jh 7d","BB_FIRST","done","0025_As_Jh_7d","363","137","471424639225006","72882",""
"26","As Jh 6d","BB_FIRST","done","0026_As_Jh_6d","363","137","493797808885574","22892",""
"27","As Jh 5d","BB_FIRST","done","0027_As_Jh_5d","363","145","482235789299011","25002",""
"28","As Jh 4d","BB_FIRST","done","0028_As_Jh_4d","365","150","476891785860062","24943",""
"29","As Jh 3d","BB_FIRST","done","0029_As_Jh_3d","367","150","488049775362015","26156",""
"30","As Jh 2d","BB_FIRST","done","0030_As_Jh_2d","368","150","492555469274521","26041",""
"31","As Th 9d","BB_FIRST","done","0031_As_Th_9d","358","137","458539605140686","23392",""
"32","As Th 8d","BB_FIRST","done","0032_As_Th_8d","360","137","457542568445206","23701",""
"33","As Th 7d","BB_FIRST","done","0033_As_Th_7d","359","140","486704230308533","23538",""
"34","As Th 6d","BB_FIRST","done","0034_As_Th_6d","359","145","492944717407227","24094",""
"35","As Th 5d","BB_FIRST","done","0035_As_Th_5d","359","145","479966968297958","24011",""
"36","As Th 4d","BB_FIRST","done","0036_As_Th_4d","361","145","48088937997818","25104",""
"37","As Th 3d","BB_FIRST","done","0037_As_Th_3d","363","145","479690372943878","25095",""
"38","As Th 2d","BB_FIRST","done","0038_As_Th_2d","364","145","480748951435089","74695",""
"39","As 9h 8d","BB_FIRST","done","0039_As_9h_8d","370","137","466315537691116","23630",""
"40","As 9h 7d","BB_FIRST","done","0040_As_9h_7d","369","150","460961103439331","25082",""
"41","As 9h 6d","BB_FIRST","done","0041_As_9h_6d","369","140","481513619422913","24176",""
"42","As 9h 5d","BB_FIRST","done","0042_As_9h_5d","369","150","481491953134537","26321",""
"43","As 9h 4d","BB_FIRST","done","0043_As_9h_4d","371","145","470288008451462","24529",""
"44","As 9h 3d","BB_FIRST","done","0044_As_9h_3d","373","145","467488527297974","24625",""
"45","As 9h 2d","BB_FIRST","done","0045_As_9h_2d","374","145","468005299568176","25116",""
"46","As 8h 7d","BB_FIRST","done","0046_As_8h_7d","372","145","488002091646194","75735",""
"47","As 8h 6d","BB_FIRST","done","0047_As_8h_6d","372","145","480598121881485","25057",""
"48","As 8h 5d","BB_FIRST","done","0048_As_8h_5d","372","145","48583984375","24674",""
"49","As 8h 4d","BB_FIRST","done","0049_As_8h_4d","374","145","475961536169052","24989",""
"50","As 8h 3d","BB_FIRST","done","0050_As_8h_3d","376","140","485831171274185","24233",""
"51","As 8h 2d","BB_FIRST","done","0051_As_8h_2d","377","137","490349858999252","24147",""
"52","As 7h 6d","BB_FIRST","done","0052_As_7h_6d","371","140","499519437551498","24066",""
"53","As 7h 5d","BB_FIRST","done","0053_As_7h_5d","371","145","483917772769928","24527",""
"54","As 7h 4d","BB_FIRST","done","0054_As_7h_4d","373","140","49286150932312","24474",""
"55","As 7h 3d","BB_FIRST","done","0055_As_7h_3d","375","140","493778765201569","24550",""
"56","As 7h 2d","BB_FIRST","done","0056_As_7h_2d","376","145","486691206693649","24784",""
"57","As 6h 5d","BB_FIRST","done","0057_As_6h_5d","371","145","476165682077408","25019",""
"58","As 6h 4d","BB_FIRST","done","0058_As_6h_4d","373","150","485449284315109","26285",""
"59","As 6h 3d","BB_FIRST","done","0059_As_6h_3d","375","150","483278781175613","25599",""
"60","As 6h 2d","BB_FIRST","done","0060_As_6h_2d","376","150","487439423799515","26321",""
"61","As 5h 4d","BB_FIRST","done","0061_As_5h_4d","373","150","493758827447891","26167",""
"62","As 5h 3d","BB_FIRST","done","0062_As_5h_3d","375","160","467686206102371","26647",""
"63","As 5h 2d","BB_FIRST","done","0063_As_5h_2d","376","161","499458760023117","27282",""
"64","As 4h 3d","BB_FIRST","done","0064_As_4h_3d","377","169","463539451360703","28820",""
"65","As 4h 2d","BB_FIRST","done","0065_As_4h_2d","378","169","456676483154297","28212",""
"66","As 3h 2d","BB_FIRST","done","0066_As_3h_2d","380","160","489749908447266","77247",""
"67","Ks Qh Jd","BB_FIRST","done","0067_Ks_Qh_Jd","356","105","466942369937897","19626",""
"68","Ks Qh Td","BB_FIRST","done","0068_Ks_Qh_Td","352","113","47978749871254","19847",""
"69","Ks Qh 9d","BB_FIRST","done","0069_Ks_Qh_9d","361","137","454562813043594","23467",""
"70","Ks Qh 8d","BB_FIRST","done","0070_Ks_Qh_8d","364","129","476335167884827","21930",""
"71","Ks Qh 7d","BB_FIRST","done","0071_Ks_Qh_7d","363","137","498798549175263","23623",""
"72","Ks Qh 6d","BB_FIRST","done","0072_Ks_Qh_6d","363","129","451120048761368","21923",""
"73","Ks Qh 5d","BB_FIRST","done","0073_Ks_Qh_5d","363","129","454540282487869","22514",""
"74","Ks Qh 4d","BB_FIRST","done","0074_Ks_Qh_4d","365","129","494580715894699","22401",""
"75","Ks Qh 3d","BB_FIRST","done","0075_Ks_Qh_3d","367","129","456825584173203","22563",""
"76","Ks Qh 2d","BB_FIRST","done","0076_Ks_Qh_2d","368","129","49205693602562","22362",""
"77","Ks Jh Td","BB_FIRST","done","0077_Ks_Jh_Td","352","110","477593153715134","19341",""
"78","Ks Jh 9d","BB_FIRST","done","0078_Ks_Jh_9d","361","129","492461830377579","22261",""
"79","Ks Jh 8d","BB_FIRST","done","0079_Ks_Jh_8d","364","150","464773178100586","24900",""
"80","Ks Jh 7d","BB_FIRST","done","0080_Ks_Jh_7d","363","120","496927589178085","21552",""
"81","Ks Jh 6d","BB_FIRST","done","0081_Ks_Jh_6d","363","120","496175080537796","21964",""
"82","Ks Jh 5d","BB_FIRST","done","0082_Ks_Jh_5d","363","121","494796603918076","22176",""
"83","Ks Jh 4d","BB_FIRST","done","0083_Ks_Jh_4d","365","129","483470410108566","22572",""
"84","Ks Jh 3d","BB_FIRST","done","0084_Ks_Jh_3d","367","129","460916012525558","23333",""
"85","Ks Jh 2d","BB_FIRST","done","0085_Ks_Jh_2d","368","129","479637503623962","72227",""
"86","Ks Th 9d","BB_FIRST","done","0086_Ks_Th_9d","358","137","494073510169983","23179",""
"87","Ks Th 8d","BB_FIRST","done","0087_Ks_Th_8d","360","145","498122304677963","24046",""
"88","Ks Th 7d","BB_FIRST","done","0088_Ks_Th_7d","359","129","490548402070999","21879",""
"89","Ks Th 6d","BB_FIRST","done","0089_Ks_Th_6d","359","129","471258163452148","21864",""
"90","Ks Th 5d","BB_FIRST","done","0090_Ks_Th_5d","359","129","462532937526703","22098",""
"91","Ks Th 4d","BB_FIRST","done","0091_Ks_Th_4d","361","129","467537105083466","22549",""
"92","Ks Th 3d","BB_FIRST","done","0092_Ks_Th_3d","363","129","489701390266418","21998",""
"93","Ks Th 2d","BB_FIRST","done","0093_Ks_Th_2d","364","129","468894779682159","22065",""
"94","Ks 9h 8d","BB_FIRST","done","0094_Ks_9h_8d","370","137","467091470956802","24224",""
"95","Ks 9h 7d","BB_FIRST","done","0095_Ks_9h_7d","369","129","49464139342308","22686",""
"96","Ks 9h 6d","BB_FIRST","done","0096_Ks_9h_6d","369","137","486852467060089","24510",""
"97","Ks 9h 5d","BB_FIRST","done","0097_Ks_9h_5d","369","137","457904994487763","24110",""
"98","Ks 9h 4d","BB_FIRST","done","0098_Ks_9h_4d","371","137","459398806095123","23483",""
"99","Ks 9h 3d","BB_FIRST","done","0099_Ks_9h_3d","373","130","496544420719147","22602",""
