"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","donk_frequency","ev_check","ev_donk","mixed_ev"
"As Kh 9d","4","BB_FIRST","BB","TsJd","50.471","0.99997","3E-05","3.30589","2.99254","3.3058805995"
"As Kh 9d","4","BB_FIRST","BB","TsJh","50.3667","0.999269","0.000731","3.20207","2.94488","3.20188199411"
"As Kh 9d","4","BB_FIRST","BB","TsJs","113.728","0.997012","0.002988","8.58779","8.47764","8.5874608718"
"As Kh 9d","4","BB_FIRST","BB","TsQc","53.2474","0.999486","0.000514","1.98508","1.48997","1.98482551346"
"As Kh 9d","4","BB_FIRST","BB","TsQd","53.5874","0.996987","0.003013","2.12697","1.81833","2.12604006768"
"As Kh 9d","4","BB_FIRST","BB","TsQh","53.2474","0.996096","0.003904","2.03459","1.59412","2.0328704051199997"
"As Kh 9d","4","BB_FIRST","BB","TsQs","80.0374","0.999982","1.8E-05","7.80319","7.20517","7.80317923564"
"As Kh 9d","4","BB_FIRST","BB","TsKc","25.9655","1","0","2.45287","-0.737951","2.45287"
"As Kh 9d","4","BB_FIRST","BB","TsKd","26.1355","1","0","2.73317","-0.552774","2.73317"
"As Kh 9d","4","BB_FIRST","BB","TsKs","98.4982","1","0","8.98189","8.19815","8.98189"
"As Kh 9d","4","BB_FIRST","BB","TsAc","138.109","1","0","29.93","29.1301","29.93"
"As Kh 9d","4","BB_FIRST","BB","TsAd","139.051","1","0","30.2553","28.4357","30.2553"
"As Kh 9d","4","BB_FIRST","BB","TsAh","138.109","1","0","31.1389","30.4862","31.1389"
"As Kh 9d","4","BB_FIRST","BB","JcJd","91.5895","1","0","0.943794","-2.513992","0.943794"
"As Kh 9d","4","BB_FIRST","BB","JcJh","91.3984","1","0","0.913761","-2.782789","0.913761"
"As Kh 9d","4","BB_FIRST","BB","JcJs","91.3984","1","0","0.935701","-2.587454","0.935701"
"As Kh 9d","4","BB_FIRST","BB","JcQc","18.6154","0.999976","2.4E-05","1.86227","1.51653","1.86226170224"
"As Kh 9d","4","BB_FIRST","BB","JcQd","89.674","0.999951","4.9E-05","1.75921","1.1334","1.7591793353099998"
"As Kh 9d","4","BB_FIRST","BB","JcQh","89.098","0.999989","1.1E-05","1.72661","1.02453","1.72660227712"
"As Kh 9d","4","BB_FIRST","BB","JcQs","89.098","0.999996","4E-06","1.78766","0.952621","1.7876566598440002"
"As Kh 9d","4","BB_FIRST","BB","JcKc","35.9375","1","0","2.84942","-1.062166","2.84942"
"As Kh 9d","4","BB_FIRST","BB","JcKd","129.198","1","0","2.90058","-0.531258","2.90058"
"As Kh 9d","4","BB_FIRST","BB","JcKs","128.348","1","0","3.12689","0.5222","3.12689"
"As Kh 9d","4","BB_FIRST","BB","JcAc","80.1674","1","0","36.5538","35.7117","36.5538"
"As Kh 9d","4","BB_FIRST","BB","JcAd","143.734","1","0","36.8704","35.1806","36.8704"
"As Kh 9d","4","BB_FIRST","BB","JcAh","142.744","1","0","37.8212","36.9992","37.8212"
"As Kh 9d","4","BB_FIRST","BB","JdJh","91.5895","1","0","0.960226","-2.351089","0.960226"
"As Kh 9d","4","BB_FIRST","BB","JdJs","91.5895","1","0","0.977877","-2.147879","0.977877"
"As Kh 9d","4","BB_FIRST","BB","JdQc","89.2858","0.999991","9E-06","1.72244","1.06348","1.7224340693599998"
"As Kh 9d","4","BB_FIRST","BB","JdQd","18.7745","0.999988","1.2E-05","7.31597","6.56617","7.3159610024"
"As Kh 9d","4","BB_FIRST","BB","JdQh","89.2858","0.999814","0.000186","1.73394","0.907787","1.733786335542"
"As Kh 9d","4","BB_FIRST","BB","JdQs","89.2858","0.936651","0.063349","1.85765","0.754082","1.7877400707680002"
"As Kh 9d","4","BB_FIRST","BB","JdKc","128.625","1","0","3.01567","-0.518272","3.01567"
"As Kh 9d","4","BB_FIRST","BB","JdKd","36.2531","1","0","8.6978","6.61008","8.6978"
"As Kh 9d","4","BB_FIRST","BB","JdKs","128.625","1","0","3.33028","0.991312","3.33028"
"As Kh 9d","4","BB_FIRST","BB","JdAc","143.067","1","0","36.9919","35.8683","36.9919"
"As Kh 9d","4","BB_FIRST","BB","JdAd","80.9047","0.999302","0.000698","42.5511","42.4509","42.551030060399995"
"As Kh 9d","4","BB_FIRST","BB","JdAh","143.067","1","0","38.3027","37.1895","38.3027"
"As Kh 9d","4","BB_FIRST","BB","JhJs","91.3984","1","0","0.951733","-2.395933","0.951733"
"As Kh 9d","4","BB_FIRST","BB","JhQc","89.098","0.999702","0.000298","1.74479","1.22201","1.7446342115600002"
"As Kh 9d","4","BB_FIRST","BB","JhQd","89.674","0.997063","0.002937","1.77147","1.08081","1.7694415315800005"
"As Kh 9d","4","BB_FIRST","BB","JhQh","18.6154","1","0","7.71453","6.7227","7.71453"
"As Kh 9d","4","BB_FIRST","BB","JhQs","89.098","0.999422","0.000578","1.82754","0.913164","1.827011490672"
"As Kh 9d","4","BB_FIRST","BB","JhKc","128.348","1","0","2.85577","-0.698704","2.85577"
"As Kh 9d","4","BB_FIRST","BB","JhKd","129.198","1","0","2.94185","-0.330141","2.94185"
"As Kh 9d","4","BB_FIRST","BB","JhKs","128.348","1","0","3.18621","0.700096","3.18621"
"As Kh 9d","4","BB_FIRST","BB","JhAc","142.744","1","0","36.9854","36.0607","36.9854"
"As Kh 9d","4","BB_FIRST","BB","JhAd","143.734","1","0","37.3468","35.5907","37.3468"
"As Kh 9d","4","BB_FIRST","BB","JhAh","80.1674","0.999577","0.000423","43.5674","43.3899","43.5673249175"
"As Kh 9d","4","BB_FIRST","BB","JsQc","89.098","0.999969","3.1E-05","1.81198","1.18574","1.81196058656"
"As Kh 9d","4","BB_FIRST","BB","JsQd","89.674","0.999596","0.000404","1.85743","1.15212","1.85714505476"
"As Kh 9d","4","BB_FIRST","BB","JsQh","89.098","0.997548","0.002452","1.83906","1.00986","1.8370268016"
"As Kh 9d","4","BB_FIRST","BB","JsQs","18.6154","1","0","8.14952","7.00097","8.14952"
"As Kh 9d","4","BB_FIRST","BB","JsKc","128.348","1","0","2.97948","-0.61594","2.97948"
"As Kh 9d","4","BB_FIRST","BB","JsKd","129.198","1","0","3.06198","-0.162867","3.06198"
"As Kh 9d","4","BB_FIRST","BB","JsKs","35.9375","1","0","10.6547","8.74315","10.6547"
"As Kh 9d","4","BB_FIRST","BB","JsAc","142.744","1","0","36.6165","36.0219","36.6165"
"As Kh 9d","4","BB_FIRST","BB","JsAd","143.734","1","0","37.0017","35.4903","37.0017"
"As Kh 9d","4","BB_FIRST","BB","JsAh","142.744","1","0","37.9529","37.2731","37.9529"
"As Kh 9d","4","BB_FIRST","BB","QcKc","9.9103","1","0","6.95254","2.55364","6.95254"
"As Kh 9d","4","BB_FIRST","BB","QcKd","140.575","1","0","7.03988","1.22981","7.03988"
"As Kh 9d","4","BB_FIRST","BB","QcKs","139.645","1","0","7.35831","2.22452","7.35831"
"As Kh 9d","4","BB_FIRST","BB","QcAc","18.9214","0.999914","8.6E-05","46.5222","45.6269","46.5221230042"
"As Kh 9d","4","BB_FIRST","BB","QcAd","139.148","1","0","46.7641","45.52","46.7641"
"As Kh 9d","4","BB_FIRST","BB","QcAh","138.184","0.99994","6E-05","47.7794","46.6862","47.779334408"
"As Kh 9d","4","BB_FIRST","BB","QdKc","140.575","1","0","7.28809","3.17467","7.28809"
"As Kh 9d","4","BB_FIRST","BB","QdKd","10.0423","1","0","12.9194","9.70629","12.9194"
"As Kh 9d","4","BB_FIRST","BB","QdKs","140.575","1","0","7.82709","2.82221","7.82709"
