"branch_id","decision_node","boards_done","elapsed_ms_including_parsing","result"
"01_UTG_FIRST","UTG_OOP_CBET","286","9395","PASS"
"02_BTN_AFTER_CHECK","BTN_STAB","286","7475","PASS"
"03_BTN_AFTER_CBET","BTN_RESPONSE","286","8297","PASS"
"04_UTG_AFTER_STAB","UTG_RESPONSE","286","91609","PASS"
