flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
ABB,Top pair,6,143,6.115419000000001,0.05988046712962963,0.9401195337962962,C,0.043768935037010535,0.5796951
ABB,Second pair,6,147,5.378626,0.18497335964820616,0.8150266459073494,C,0.016678225482131288,0.9348587
ABB,Third pair,6,138,28.067669999999993,0.5667075988917305,0.4332924323582694,F/C,0.03183368710060382,0.772845
ABB,Air + draw,6,100,9.080496999999998,0.20091630232074442,0.799083669107827,C,0.003023024979682221,0.4259874524688
ABB,Weak pair,5,31,8.65631,0.6829956833333334,0.3170043166666667,F,0.08265997014368054,0.594079140072
ABB,Two pair+,6,220,36.624024999999996,0.0,1.0,C,0.0,0.0
A[K/Q]x,Second pair,16,303,19.690468000000017,0.21359054698450855,0.7864094491092414,C,0.0011698559006367887,0.3877884
A[K/Q]x,Top pair,16,478,103.67167900000003,0.0,1.0,C,0.0,0.0
A[K/Q]x,Third pair,16,269,366.9981489999999,0.8010771967670368,0.19892280283613778,F,0.0015005612510078801,0.2872280324
A[K/Q]x,Two pair+,16,230,205.34842099999986,0.0,1.0,C,0.0,0.0
A[K/Q]x,Air + draw,16,674,220.09447500000016,0.16777501952709792,0.8322249726527051,C,0.01298591131641968,0.3223201314419
A[K/Q]x,Weak pair,13,105,8.470640000000003,1.0,0.0,F,0.0,0.0
A[J-T][9-5],Top pair,10,364,55.16213399999998,0.0,1.0,C,0.0,0.0
A[J-T][9-5],Third pair,10,188,267.256201,0.8342796725785486,0.16572033718335613,F,0.003580809913760432,0.38127300000000003
A[J-T][9-5],Air + draw,10,561,247.10410400000018,0.2335570326621217,0.7664429652547152,C,0.11594006987347957,0.9316444
A[J-T][9-5],Second pair,10,324,19.31861100000003,0.7321861498239162,0.26781384402510533,F,0.45709419295367376,1.17105
A[J-T][9-5],Two pair+,10,189,188.42984499999997,0.0,1.0,C,0.0,0.0
A[J-T][9-5],Weak pair,5,30,0.165252,1.0,0.0,F,0.0,0.0
A[J-T][4-2],Air + draw,6,347,335.1247610000002,0.3873662082650462,0.6126337918412803,F/C,0.23059295512337386,0.937725
A[J-T][4-2],Third pair,6,88,329.4565799999999,0.8430221237389803,0.1569778762610197,F,0.0016511309849130212,0.224410052825
A[J-T][4-2],Top pair,6,283,111.67798800000004,0.0,1.0,C,0.0,0.0
A[J-T][4-2],Two pair+,6,100,248.05794099999997,0.0,1.0,C,0.0,0.0
A[J-T][4-2],Second pair,6,231,31.067726000000008,0.6200644016397727,0.37993562014405197,F/C,0.24813395539134878,0.633035
A[J-T][4-2],Weak pair,3,18,0.44250500000000004,1.0,0.0,F,0.0,0.0
A[J-T][9-5],Underpair,3,7,0.00043900000000000005,0.9992841111111112,0.0007158888888888888,F,0.0,0.0
A[J-T][4-2],Underpair,3,14,0.000707,0.9969886666666667,0.00301125,F,0.0,0.0
A[9-7]x,Third pair,18,313,501.3279469999994,0.9360253546561255,0.06397464966486223,F,0.0005863056394037046,0.7083622374980001
A[9-7]x,Second pair,18,398,160.64453499999996,0.46598832361199755,0.5340116782986433,F/C,0.11275414978568203,1.319485
A[9-7]x,Air + draw,18,447,565.6624960000003,0.06187847851633358,0.9381215205577406,C,0.028180894657806533,0.905029703662
A[9-7]x,Weak pair,18,376,72.09616599999997,1.0,0.0,F,0.0,0.0
A[9-7]x,Top pair,18,660,211.43818299999998,0.0,1.0,C,0.0,0.0
A[9-7]x,Two pair+,18,190,571.5670070000001,0.0,1.0,C,0.0,0.0
A[9-7]x,Underpair,18,115,0.777551,0.6420060736609069,0.35799393678543684,F/C,0.5925784852073207,0.79486045
A[9-7]x,Air,17,286,181.42497699999998,0.9975470553806977,0.0024529446193022665,F,0.0008169009407498198,0.065701439853
A[6-2]x,Air + draw,10,257,444.6652570000001,0.27398592370833336,0.7260140737916665,C,0.16841630165546587,1.6537437000000001
A[6-2]x,Third pair,10,130,168.97149199999996,0.6852145130681819,0.31478547683080804,F,0.12822966067274608,1.6067799999999999
A[6-2]x,Weak pair,9,113,88.80746900000004,0.9999726203703704,2.7379629629629633e-05,F,0.0,0.0
A[6-2]x,Second pair,10,209,235.95119499999984,0.7400740431245689,0.2599259479641132,F,0.19661253354821978,2.81853
A[6-2]x,Air,10,374,162.32838,1.0,0.0,F,0.0,0.0
A[6-2]x,Two pair+,10,140,391.773725,6.0625e-07,0.9999993937500001,C,0.0,0.0
A[6-2]x,Underpair,10,270,86.07833900000003,0.943190361316905,0.056809634825708055,F,0.0008071138403769488,0.386740424473
A[6-2]x,Top pair,10,468,220.413227,0.006821495921958527,0.9931785040780415,C,0.0038088471043543856,0.155390937676
BBB,A-high + draw,4,37,8.786700000000003,0.18940682045454546,0.8105931568181818,C,0.05772175851095659,0.10868986219680002
BBB,Second pair,4,44,1.5177570000000005,0.21035739722777222,0.7896426141358641,C,0.004385067199900342,1.402037
BBB,Top pair,4,33,1.1310220000000004,0.001494339285714286,0.9985056607142857,C,0.0,0.0
BBB,Air + draw,4,47,7.021829,0.0,1.0,C,0.0,0.0
BBB,Third pair,4,71,24.99681499999999,0.5051884562937063,0.4948115437062937,F/C,0.34899903260096626,1.194455
BBB,Two pair+,4,124,37.009510000000006,0.0,1.0,C,0.0,0.0
BBB,Weak pair,2,12,2.2871769999999993,0.0,1.0,C,0.0,0.0
BBx,Top pair,47,1142,47.365849000000026,0.0026759487952895274,0.9973240505183686,C,0.005869438249660174,0.251760499375
