"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"Js 5h 2d","199","UTG_CBET","UTG","JcQc","224.983","0.82538","0.17462","49.7769","49.7968","49.780374937999994"
"Js 5h 2d","199","UTG_CBET","UTG","JcQd","125.426","1","0","50.0922","49.7879","50.0922"
"Js 5h 2d","199","UTG_CBET","UTG","JcQh","125.674","0.999982","1.8E-05","50.1194","49.8348","50.119394877199994"
"Js 5h 2d","199","UTG_CBET","UTG","JcQs","125.148","0.897574","0.102426","50.0375","50.0935","50.043235856"
"Js 5h 2d","199","UTG_CBET","UTG","JcKc","224.157","0.537201","0.462799","52.8935","52.9218","52.9065972117"
"Js 5h 2d","199","UTG_CBET","UTG","JcKd","225.351","0.782247","0.217753","53.0899","53.0572","53.0827794769"
"Js 5h 2d","199","UTG_CBET","UTG","JcKh","225.65","0.745144","0.254856","53.1591","53.1141","53.14763148"
"Js 5h 2d","199","UTG_CBET","UTG","JcKs","224.182","0.587206","0.412794","53.0179","53.0787","53.0429978752"
"Js 5h 2d","199","UTG_CBET","UTG","JcAc","221.502","0.133591","0.866409","60.2956","60.3257","60.3216789109"
"Js 5h 2d","199","UTG_CBET","UTG","JcAd","223.012","0.368858","0.631142","60.4477","60.445","60.4459959166"
"Js 5h 2d","199","UTG_CBET","UTG","JcAh","222.671","0.392735","0.607265","60.4652","60.4611","60.4627102135"
"Js 5h 2d","199","UTG_CBET","UTG","JcAs","221.593","0.288583","0.711417","60.3462","60.3793","60.3697479027"
"Js 5h 2d","199","UTG_CBET","UTG","JdJh","224.805","0","1","126.397","151.192","151.192"
"Js 5h 2d","199","UTG_CBET","UTG","JdQc","125.374","0.999993","7E-06","50.2461","49.8129","50.2460969676"
"Js 5h 2d","199","UTG_CBET","UTG","JdQd","225.182","0.181814","0.818186","54.0083","54.0309","54.0267910036"
"Js 5h 2d","199","UTG_CBET","UTG","JdQh","125.705","1","0","50.6065","49.817","50.6065"
"Js 5h 2d","199","UTG_CBET","UTG","JdQs","125.181","1","0","50.5093","50.0925","50.5093"
"Js 5h 2d","199","UTG_CBET","UTG","JdKc","224.824","0.776221","0.223779","53.1902","53.1818","53.1883202564"
"Js 5h 2d","199","UTG_CBET","UTG","JdKd","224.773","0","1","57.18","57.7332","57.7332"
"Js 5h 2d","199","UTG_CBET","UTG","JdKh","225.705","0.998772","0.001228","53.5187","53.4478","53.5186129348"
"Js 5h 2d","199","UTG_CBET","UTG","JdKs","224.242","0.825512","0.174488","53.3744","53.4011","53.379058829600005"
"Js 5h 2d","199","UTG_CBET","UTG","JdAc","222.016","0.27249","0.72751","60.6382","60.6742","60.66439036"
"Js 5h 2d","199","UTG_CBET","UTG","JdAd","222.53","0","1","64.6899","65.2544","65.2544"
"Js 5h 2d","199","UTG_CBET","UTG","JdAh","222.728","0.486124","0.513876","60.8881","60.8784","60.8831154028"
"Js 5h 2d","199","UTG_CBET","UTG","JdAs","221.672","0.390592","0.609408","60.7615","60.7967","60.7829511616"
"Js 5h 2d","199","UTG_CBET","UTG","JhQc","125.356","0.999969","3.1E-05","50.2412","49.8132","50.241186732"
"Js 5h 2d","199","UTG_CBET","UTG","JhQd","125.439","1","0","50.5719","49.7673","50.5719"
"Js 5h 2d","199","UTG_CBET","UTG","JhQh","225.599","0.203555","0.796445","53.834","53.8761","53.8675303345"
"Js 5h 2d","199","UTG_CBET","UTG","JhQs","125.163","0.999997","3E-06","50.5011","50.0961","50.501098785"
"Js 5h 2d","199","UTG_CBET","UTG","JhKc","224.793","0.798979","0.201021","53.1908","53.1706","53.1867393758"
"Js 5h 2d","199","UTG_CBET","UTG","JhKd","225.374","0.999577","0.000423","53.4525","53.357","53.4524596035"
"Js 5h 2d","199","UTG_CBET","UTG","JhKh","225.048","4E-06","0.999996","57.0473","57.5386","57.5385980348"
"Js 5h 2d","199","UTG_CBET","UTG","JhKs","224.211","0.829664","0.170336","53.376","53.385","53.377533023999995"
"Js 5h 2d","199","UTG_CBET","UTG","JhAc","221.987","0.284647","0.715353","60.6234","60.665","60.653158684800005"
"Js 5h 2d","199","UTG_CBET","UTG","JhAd","223.035","0.48374","0.51626","60.8554","60.8522","60.853747968000008"
"Js 5h 2d","199","UTG_CBET","UTG","JhAh","222.187","0","1","64.489","64.9702","64.9702"
"Js 5h 2d","199","UTG_CBET","UTG","JhAs","221.636","0.392683","0.607317","60.7515","60.7842","60.7713592659"
"Js 5h 2d","199","UTG_CBET","UTG","QcQd","225.705","0.026444","0.973556","66.4916","66.434","66.435523174399989"
"Js 5h 2d","199","UTG_CBET","UTG","QcQh","226.152","0.016288","0.983712","66.4676","66.5072","66.5065549952"
"Js 5h 2d","199","UTG_CBET","UTG","QcQs","225.21","0.004835","0.995165","66.2513","66.2935","66.293295962999991"
"Js 5h 2d","199","UTG_CBET","UTG","QcKc","224.682","0.524668","0.475332","19.2138","19.1799","19.1976862452"
"Js 5h 2d","199","UTG_CBET","UTG","QcKd","226.123","0.298348","0.701652","19.6659","19.6337","19.6433068056"
"Js 5h 2d","199","UTG_CBET","UTG","QcKh","226.422","0.319334","0.680666","19.6142","19.5793","19.5904447566"
"Js 5h 2d","199","UTG_CBET","UTG","QcKs","224.961","0.297437","0.702563","19.8096","19.7738","19.7844482446"
"Js 5h 2d","199","UTG_CBET","UTG","QcAc","221.81","0.999137","0.000863","20.8824","20.7954","20.882324919"
"Js 5h 2d","199","UTG_CBET","UTG","QcAd","223.68","0.566415","0.433585","21.1789","21.1018","21.145470596499997"
"Js 5h 2d","199","UTG_CBET","UTG","QcAh","223.343","0.64165","0.35835","21.1903","21.1327","21.169659040000003"
"Js 5h 2d","199","UTG_CBET","UTG","QcAs","222.295","0.632351","0.367649","21.3276","21.2639","21.3041807587"
"Js 5h 2d","199","UTG_CBET","UTG","QdQh","226.298","0.052171","0.947829","66.7639","66.8103","66.8078792656"
"Js 5h 2d","199","UTG_CBET","UTG","QdQs","225.357","0.03248","0.967519","66.5426","66.5892","66.587619842800009"
"Js 5h 2d","199","UTG_CBET","UTG","QdKc","225.672","0.224655","0.775345","19.6835","19.6558","19.6620229435"
"Js 5h 2d","199","UTG_CBET","UTG","QdKd","225.406","0.185788","0.814212","23.9499","23.9487","23.9489229456"
"Js 5h 2d","199","UTG_CBET","UTG","QdKh","226.545","0.323969","0.676031","20.0114","19.9849","19.9934851785"
"Js 5h 2d","199","UTG_CBET","UTG","QdKs","225.102","0.307667","0.692333","20.2018","20.17","20.1797838106"
"Js 5h 2d","199","UTG_CBET","UTG","QdAc","222.788","0.670716","0.329284","21.2396","21.1685","21.2161879076"
"Js 5h 2d","199","UTG_CBET","UTG","QdAd","222.995","0.99999","1E-05","25.751","25.5847","25.750998337"
"Js 5h 2d","199","UTG_CBET","UTG","QdAh","223.489","0.347365","0.652635","21.5292","21.4856","21.500745113999997"
"Js 5h 2d","199","UTG_CBET","UTG","QdAs","222.441","0.348155","0.651845","21.662","21.619","21.633970665"
"Js 5h 2d","199","UTG_CBET","UTG","QhQs","225.803","0.032203","0.967797","66.5272","66.5612","66.560105098"
"Js 5h 2d","199","UTG_CBET","UTG","QhKc","226.116","0.230477","0.769522","19.663","19.6499","19.6528995988"
"Js 5h 2d","199","UTG_CBET","UTG","QhKd","226.691","0.2825","0.7175","20.0473","20.0288","20.03402625"
"Js 5h 2d","199","UTG_CBET","UTG","QhKh","226.153","0.216283","0.783717","23.7952","23.7833","23.785873767700004"
"Js 5h 2d","199","UTG_CBET","UTG","QhKs","225.549","0.290411","0.709589","20.1881","20.1678","20.1736953433"
"Js 5h 2d","199","UTG_CBET","UTG","QhAc","223.235","0.683781","0.316219","21.1673","21.104","21.1472833373"
"Js 5h 2d","199","UTG_CBET","UTG","QhAd","224.273","0.3741","0.6259","21.4447","21.412","21.42423307"
"Js 5h 2d","199","UTG_CBET","UTG","QhAh","223.104","0.999998","2E-06","25.6099","25.4122","25.6098996046"
"Js 5h 2d","199","UTG_CBET","UTG","QhAs","222.887","0.368607","0.631393","21.591","21.5569","21.5694694987"
"Js 5h 2d","199","UTG_CBET","UTG","QsKc","225.18","0.249092","0.750908","19.7602","19.748","19.751038922400003"
"Js 5h 2d","199","UTG_CBET","UTG","QsKd","225.761","0.323474","0.676526","20.1425","20.1119","20.1217983044"
"Js 5h 2d","199","UTG_CBET","UTG","QsKh","226.061","0.322949","0.677051","20.0978","20.0641","20.0749833813"
"Js 5h 2d","199","UTG_CBET","UTG","QsKs","223.749","0.132241","0.867759","24.4209","24.4114","24.4126562895"
"Js 5h 2d","199","UTG_CBET","UTG","QsAc","222.293","0.59823","0.40177","21.3585","21.2969","21.333750968000004"
"Js 5h 2d","199","UTG_CBET","UTG","QsAd","223.331","0.340683","0.659317","21.6297","21.5952","21.6069535635"
"Js 5h 2d","199","UTG_CBET","UTG","QsAh","222.993","0.30267","0.69733","21.6466","21.6089","21.620310659"
"Js 5h 2d","199","UTG_CBET","UTG","QsAs","221.114","0.999947","5.3E-05","26.1974","26.0363","26.1973914617"
"Js 5h 2d","199","UTG_CBET","UTG","KcKd","224.254","0.105769","0.894231","68.6096","68.633","68.630525005399988"
"Js 5h 2d","199","UTG_CBET","UTG","KcKh","224.553","0.096046","0.903954","68.646","68.6758","68.6729378292"
"Js 5h 2d","199","UTG_CBET","UTG","KcKs","223.092","0.083773","0.916227","68.173","68.1917","68.1901334449"
"Js 5h 2d","199","UTG_CBET","UTG","KcAc","220.737","0.777771","0.222229","21.8853","21.861","21.8798998353"
"Js 5h 2d","199","UTG_CBET","UTG","KcAd","222.005","0.582804","0.417196","22.0922","22.0486","22.0740102544"
"Js 5h 2d","199","UTG_CBET","UTG","KcAh","221.668","0.598989","0.401011","22.1118","22.0664","22.0935941006"
"Js 5h 2d","199","UTG_CBET","UTG","KcAs","220.62","0.68716","0.312839","22.268","22.2323","22.2568093797"
"Js 5h 2d","199","UTG_CBET","UTG","KdKh","225.131","0.103935","0.896065","68.9481","68.9725","68.969963986"
"Js 5h 2d","199","UTG_CBET","UTG","KdKs","223.67","0.104578","0.895422","68.4395","68.476","68.472182903"
"Js 5h 2d","199","UTG_CBET","UTG","KdAc","221.544","0.565179","0.434821","22.1503","22.1044","22.1303417161"
"Js 5h 2d","199","UTG_CBET","UTG","KdAd","222.353","0.917789","0.082211","26.4471","26.416","26.4445432379"
"Js 5h 2d","199","UTG_CBET","UTG","KdAh","222.245","0.498444","0.501555","22.3721","22.3406","22.356278645399996"
"Js 5h 2d","199","UTG_CBET","UTG","KdAs","221.197","0.457125","0.542875","22.533","22.477","22.502599"
"Js 5h 2d","199","UTG_CBET","UTG","KhKs","223.969","0.095179","0.904821","68.4919","68.5225","68.519587522599991"
"Js 5h 2d","199","UTG_CBET","UTG","KhAc","221.844","0.586576","0.413424","22.0764","22.03","22.0572171264"
"Js 5h 2d","199","UTG_CBET","UTG","KhAd","222.883","0.501311","0.498689","22.2816","22.2499","22.2657915587"
