hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C,C,C,C,C,C,C,C,C
Overpair,—,—,—,—,—,—,—,C,C,C
Top pair,BDFD,C,C,C,C,C,C,C,C,C
Underpair,—,—,F,F,—,—,C,C,C,C
Second pair,F,C,BDFD,F/C,F,C,C,C,C,C
Weak pair,—,F,F,F,—,F,F,F,—,F
Third pair,F,F,F,F,F,BDFD,C,C,C,C
Low pocket pair,—,—,—,F,—,F,F,F,F,F
OESD,C,C,C,C,C,C,C,C,C,C
Gutshot,C,C,C,C,C/F,C/F,C,C,C,C
2 overcards + BDFD,—,—,—,—,—,—,—,C,C/F,F
Air,—,—,—,F,—,F,F,F,F,F
