flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1248,731.4950229999996,0.6382775746212122,0.20679712077020207,0.15492528764730643,F/C,0.02069221528694471,1.2399266602071
A-high high,Top pair,22,1200,1012.0276070000001,0.04983262574760765,0.5475436225079745,0.40262376096491226,C/R,0.0628233375539569,1.4090747369162
A-high high,Air,22,724,307.222597,0.843552278983264,0.11705098222311149,0.03939673756136541,F,0.01399137513814178,1.41299170576
A-high high,Second pair,22,900,556.8891490000008,0.35553673381676887,0.39578731868696393,0.24867598065591826,F/C,0.12543357963227256,1.48287005795
A-high high,Gutshot,22,700,463.0609970000001,0.08815145972222221,0.40276984469696964,0.5090786811868686,C/R,0.011374959079747332,4.0157597
A-high high,Third pair,18,243,24.644657000000006,0.1012367600382128,0.24701463271604934,0.651748572530864,R,0.5837199031211103,4.5495523182591
A-high high,Two pair+,22,625,330.7832689999998,0.00045595764551105455,0.23852725884103274,0.761016773157272,R,0.1754873185002891,1.0525631555200001
A-high high,OESD,5,28,4.306651,0.009900224999999999,0.3452580500000001,0.644841875,C/R,0.03768446352824932,0.5906258994527999
A-high high,Underpair,11,72,77.581778,0.11421471212121213,0.6379338257575757,0.24785147727272727,C/R,0.18539238297875027,0.3825829871166
A-high medium,Weak pair,16,720,1247.1190710000005,0.7132204371279761,0.2216554107142857,0.06512416648065476,F,0.11472994294128129,0.98342719586
A-high medium,Top pair,16,912,2370.327694000002,0.011054705043859648,0.7779079824561405,0.21103731578947368,C,0.0019309928528556408,0.16244251947000024
A-high medium,Air,16,620,897.2253940000006,0.8918785752926761,0.10240946262305402,0.00571198211996337,F,0.02641060997731326,0.8336994938660001
A-high medium,Gutshot,16,772,1480.9762239999993,0.06620973697439712,0.5035113501211462,0.4302789151900183,C/R,0.02086323399030807,0.19295870506499996
A-high medium,Third pair,12,117,61.33841599999997,0.12636431574074072,0.3172084921296296,0.5564272217592593,C/R,0.0017689519494682587,0.08348113779899999
A-high medium,OESD,5,84,40.26288000000001,0.0,0.35837477,0.6416252100000001,C/R,0.013421491780201045,0.28433003060000034
A-high medium,Two pair+,16,326,704.2548010000005,1.306818181818182e-07,0.26720176505681814,0.7327981156250001,R,0.1864958073220276,0.8521005794400012
A-high medium,Second pair,16,495,835.8576599999999,0.30482517754629623,0.44419555951178447,0.25097927592592595,F/C,0.21044952498642727,1.4935812746000001
A-high medium,Underpair,16,240,614.9781489999998,0.24075781770833332,0.7364996267361111,0.022742576388888887,C,0.00012658371373576194,0.035085165129600006
A-high low,Weak pair,27,672,1175.8261080000007,0.21164846502057613,0.6658486897119341,0.12250281141975308,C,0.010866644686663856,0.31717314635660004
A-high low,Top pair,28,1848,21848.53671000003,0.0034218100649350647,0.9131349502164501,0.08344324296536797,C,0.0009932268405615312,0.05944440960000001
A-high low,Air,28,3220,26881.12549600006,0.7184644325158489,0.25701524240061974,0.02452032722894489,F,0.035177480492208854,1.180806696412
A-high low,Gutshot,24,176,584.8232840000001,0.0,0.893428767939815,0.10657124479166664,C,0.0008474106673450369,0.15273513072000072
A-high low,OESD,13,68,159.699303,0.0,0.7285940384615385,0.2714059615384615,C,0.0008882951457008667,0.25180739186000023
A-high low,Third pair,14,102,187.84220900000005,0.014606208333333334,0.452562744047619,0.5328310218253969,C/R,0.0252827725118768,0.32724187264399995
A-high low,Two pair+,28,380,2749.6796020000006,0.0,0.4382051314695108,0.5617948657832363,C/R,0.05479094684659919,0.7448517213900004
A-high low,Second pair,27,303,858.9318930000001,0.0015151275720164605,0.44232665411522637,0.5561582479423868,C/R,0.011118071918071026,0.08174986894800007
A-high low,Underpair,28,1008,14339.179809999994,0.0007455059382086168,0.936619622678099,0.06263487761952001,C,0.0007153626516476717,0.02983608693200006
Broadway,Weak pair,51,2370,272.89620100000036,0.667457869397759,0.2605964490611059,0.07194568756484075,F,0.4881857419064882,3.3503009152800005
Broadway,Gutshot,51,2016,331.7940860000001,0.12689384720400787,0.3919377470054183,0.48116841180396397,C/R,0.08047676265573572,4.2463133377812
Broadway,Air,51,2348,299.71730900000034,0.9224553992496135,0.06422167510578336,0.013322933689445086,F,0.027941656921721174,2.57015170136
Broadway,Top pair,51,2214,360.78813000000014,0.01894449184546871,0.692555235658869,0.2885002560038134,C,0.09966808985828671,1.8977775644045
Broadway,OESD,49,848,186.33267599999996,0.00843194409013605,0.368411431462585,0.6231566072704082,C/R,0.0324257680908631,2.9888975171539998
Broadway,Two pair+,51,1149,186.488025,0.00010012698630767922,0.1590625950596596,0.8408372689032542,R,0.1403778639617314,2.15207442836
Broadway,Third pair,51,528,65.88446199999997,0.14660445896358543,0.3403629831310302,0.513032534765017,C/R,0.21161491448477907,4.0773407
Broadway,Second pair,51,1698,243.8083110000002,0.12169885300034025,0.5642958973046559,0.3140052509904039,C/R,0.07117405180782524,2.8688599192233997
Broadway,Overpair,51,492,121.1766029999999,0.0034484956427015233,0.5138309776688452,0.48272052723311554,C/R,0.05902720366069601,0.9850386490999995
Broadway,Underpair,25,198,22.800066000000005,0.12385846666666665,0.5814489666666668,0.29469253,C/R,0.020395239816306854,0.15571288774509995
K/Q-high,Weak pair,54,1344,215.14318999999992,0.17961223575102886,0.5827171761831276,0.2376706109053498,C/R,0.13250844506751353,1.3625224289713
K/Q-high,Air,56,6636,10458.13791600001,0.57441043860012,0.3019630864658179,0.12362648268255025,F/C,0.06142148545681701,2.8670874938799997
K/Q-high,Gutshot,49,884,711.5797770000005,0.0031422262471655325,0.5639025228999933,0.43295525134303725,C/R,0.03731302922793855,0.9568898900378999
K/Q-high,Top pair,56,3066,4576.8127680000025,8.041467570580865e-05,0.7938934419224049,0.20602614511319875,C,0.0067643347801904325,0.678656946240001
K/Q-high,OESD,31,168,64.99833000000001,2.8745967741935483e-05,0.29969729166666664,0.7002739663978492,R,0.09594426169568751,1.4212511362118
K/Q-high,Third pair,56,342,346.2312529999998,0.000992265277777778,0.49811490952380966,0.5008928470238094,C/R,0.049093261478868826,0.6202176025506
K/Q-high,Two pair+,56,616,535.5201920000002,1.858807858807859e-06,0.12065745694844372,0.8793406787547422,R,0.11798679094476636,1.4344546874999993
K/Q-high,Second pair,56,678,473.717653,0.00011601438492063493,0.5417340169642858,0.45814995853174606,C/R,0.03443238123597706,0.3927712839199998
K/Q-high,Underpair,56,1512,3853.450343999994,0.0003644359126984127,0.8915544973143427,0.10808104778557256,C,0.0018409548656889642,0.5315350374299996
K/Q-high,Overpair,56,504,851.848882,4.639880952380953e-06,0.5687091741071428,0.4312861845238095,C/R,0.06357253653183634,0.3283051135000008
K/Q-high,2 overcards + BDFD,28,84,130.731898,0.05334598809523811,0.746799964285714,0.19985401190476196,C,0.0002599195826092388,0.1293371104600002
Middle connected,Weak pair,22,444,1304.1625469999997,0.3162908460858586,0.6680536547438671,0.015655469173881678,C,0.06445057400959486,0.8666050000000001
Middle connected,Air,26,2907,48014.11705700001,0.6567901410658229,0.2771504811211679,0.06605938201058928,F,0.022484461673775546,1.1375155426199999
Middle connected,Gutshot,26,672,12411.445695999997,0.04868636752934566,0.5465170792265026,0.4047965550506786,C/R,0.01316112706133139,1.1300024
Middle connected,OESD,24,292,3769.408877999998,0.003171923697916667,0.3178296474165013,0.6789984410879629,R,0.02306716831429178,0.4916218906424
Middle connected,Two pair+,26,386,3982.9099989999995,0.0,0.2400829979131362,0.7599169922469738,R,0.02945529745346742,0.9144061557000001
Middle connected,Third pair,26,183,2339.8963630000003,0.012514629273504274,0.7818958856837608,0.2055895149572649,C,0.0009691419730364703,0.2006987176173
Middle connected,Second pair,26,252,2597.8649510000005,0.0110771119165023,0.6917102074128862,0.2972127136587771,C,0.002714454603140239,0.2703811640118
Middle connected,Top pair,26,819,6152.468517000002,0.007578481884568424,0.7133548412698413,0.27906667987696065,C,0.003940278603451018,0.3974189512499997
Middle connected,Overpair,26,672,16591.511143000007,0.003350728632478632,0.7380686232905982,0.2585806407051282,C,0.0012160798781053763,0.3520832775999999
Middle connected,Underpair,22,444,4333.467884000001,9.206349206349205e-07,0.8698215263347765,0.1301775332070707,C,0.001313942765770764,0.07956338887000029
Middle connected,2 overcards + BDFD,25,489,13518.681648000002,0.04092451644444445,0.7385110324444446,0.22056441288888892,C,0.0013526573062570524,0.29947172545499995
Middle dry,Weak pair,67,1602,3738.6674369999996,0.19466800679933663,0.7078760830845772,0.09745591082089548,C,0.013438539455383664,0.5656742
Middle dry,Air,67,8152,85962.63618899987,0.5869255782002168,0.3077658481985916,0.10530857271775182,F/C,0.039958908320725135,0.74885779219
Middle dry,Gutshot,66,1344,11749.503506999994,0.005667927533588046,0.4528386944924079,0.5414933803221609,C/R,0.008391407172540308,1.0085340500000002
Middle dry,Third pair,67,390,3480.6658420000012,0.006693832587064677,0.5738798907960198,0.4194262557213931,C/R,0.04292264244152326,0.355865
Middle dry,OESD,53,556,3409.177529000002,1.9921383647798743e-07,0.3151853763177598,0.6848144183363283,R,0.014999537985447542,1.0270757420099983
