flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
[J-8]x dis,Top pair,67,2157,139020.3637980003,0.9117446642137298,0.08825534365079364,X,False,0,0,,,0.00034335652835254976,0.026187720899999788
[J-8]x dis,Overpair,67,1674,150779.90099999984,0.8197424912520731,0.18025750468490878,X,False,0,0,,,0.00019556598576335764,0.022357327979999297
[J-8]x dis,2 overcards + BDFD,67,1260,113116.87650000022,0.9182164603885336,0.08178354028271342,X,False,0,0,,,7.044666778005278e-06,0.002254877400000055
[J-8]x dis,Weak pair,57,924,37282.251179999956,0.9491230898635478,0.050876912329434705,X,False,0,0,,,1.5535624308382805e-05,0.004247731543999933
[J-8]x dis,Underpair,48,702,62376.23770000004,0.9392863132523145,0.0607136892361111,X,False,0,0,,,4.18303715518488e-05,0.002156252700000039
[J-8]x con,Underpair,14,372,27935.684400000006,0.9318996932256235,0.06810028713151926,X,False,0,0,,,5.0788640071882685e-06,0.0005274527999999279
[7-4]x,Low pocket pair,6,36,207.14904000000004,0.9999496388888889,5.036111111111111e-05,X,False,0,0,,,0.0,0.0
[7-4]x,Air,20,2368,168125.47635399943,0.9984144433294146,0.0015855566840874565,X,False,0,0,,,3.275100199076451e-07,0.0002943832710000649
[7-4]x,Gutshot,20,886,59952.50583400005,0.9789796552661167,0.02102035138714069,X,False,0,0,,,1.8977463701006173e-06,0.04032306954000013
[7-4]x,OESD,18,260,10673.072763999993,0.9072613812234387,0.09273862690508144,X,False,0,0,,,4.799512656763295e-06,0.07939716502000067
[7-4]x,Two pair+,20,252,9229.648952000005,0.9052105208398104,0.09478948493862174,X,False,0,0,,,3.934019433628204e-07,2.8469499997640924e-05
[7-4]x,Third pair,16,51,4298.2364,0.9923440416666665,0.007655979166666667,X,False,0,0,,,0.0,0.0
[7-4]x,Second pair,16,96,6208.571586000003,0.9930597621527777,0.006940243055555555,X,False,0,0,,,0.0,0.0
[7-4]x,Top pair,19,159,7359.706772,0.9904275160818716,0.009572495614035085,X,False,0,0,,,0.0,0.0
[7-4]x,Overpair,20,822,78191.6670000001,0.9890906019543652,0.010909392936507936,X,False,0,0,,,4.785984406158994e-09,3.886710000244875e-06
[7-4]x,2 overcards + BDFD,20,1008,81567.18266200005,0.9875835980347747,0.012416404302170784,X,False,0,0,,,4.691221373611924e-07,0.0007934989499998934
[7-4]x,Weak pair,3,36,417.8203500000001,1.0,0.0,X,False,0,0,,,0.0,0.0
[7-4]x,Underpair,3,36,1532.2458000000004,0.9918466296296296,0.008153407407407408,X,False,0,0,,,0.0,0.0
