hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C,C,C,C,R/C,R,R,R,R
Overpair,—,—,—,—,—,C,R/C,C,C,C
Top pair,BDFD,C,C,C,BDFD,C,C,C,C,R/C
Underpair,—,C,C,C,—,C,C,C,C,C
Second pair,F,C,C,R/C,—,C,R/C,C,C,C
Weak pair,—,F,F,C,—,F,C,C,—,C
Third pair,F,R,C/R,R/C,F,C,C/R,C/R,C,C
Low pocket pair,F,F,F,F,F,F,F,F,F,F
OESD,C,C,C/R,C,C,C,R,R,R,R
Gutshot,C,C,C,C,C/F,C,R/C,R/C,R/C,C/R
2 overcards + BDFD,—,—,—,—,—,—,C,C,C/F,F/C
Air,F,F,F,F,F,F,F,F,F,F
