flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,2392.836725999999,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
ABB,Top pair,6,144,2420.8356799999992,0.3162281736111111,0.6806789999999999,0.0030928194444444445,BDFD,True,6,6,0.92089978125,0.7904840833333333,0.006020697465504738,0.12632859835960003
ABB,Air,6,128,587.5910020000001,1.0,0.0,0.0,F,False,6,6,0.0,1.0,0.0,0.0
ABB,Second pair,6,54,740.32549,0.7423795777777779,0.25667832222222225,0.0009421111111111111,F,False,6,6,0.38643065000000004,1.0,0.05603609397089786,0.35621200000000003
ABB,Gutshot,6,550,5928.601602999997,0.15578039214997066,0.7997890711101109,0.04443053500264521,C,False,6,6,0.7512725874521072,0.11472319798259711,0.018592732706391574,0.8892761
ABB,Third pair,6,23,184.828381,0.6624544444444445,0.29163672222222226,0.04590875,F,False,6,5,0.4229860833333333,1.0,0.019088119894557897,0.7832680531680001
ABB,Two pair+,6,282,2560.1161589999997,0.0,0.9030646610396226,0.09693534204351385,C,False,6,6,0.9999999722222221,0.0,0.0002486430732813514,0.06688011330000024
A[K/Q]x,Low pocket pair,14,334,1799.161141999999,0.971579747145828,0.028420246360665476,0.0,F,False,0,0,,,0.00026122988325460474,0.057235113324
A[K/Q]x,Top pair,16,912,16247.947448,0.0,0.9860361589912279,0.013963843201754386,C,False,16,16,0.9999999968749999,0.0,1.7537101923244305e-06,0.0015537074999997457
A[K/Q]x,Air,16,595,5130.474149000007,1.0,0.0,0.0,F,False,16,16,0.0,1.0,0.0,0.0
A[K/Q]x,Second pair,16,702,11369.13735,0.2866861298783937,0.6914945297574158,0.021819339886956383,C,False,16,16,0.9999999910714286,0.379726946777582,0.0026837446119098796,0.1268627
A[K/Q]x,Two pair+,16,306,2829.375260999999,0.0,0.7480296938883074,0.251970295506878,C,False,16,16,1.0000000208333335,0.0,0.002418838128266553,3.7725999999999997
A[K/Q]x,Third pair,12,102,202.72725000000008,0.009782306547619047,0.29359070171957674,0.6966270231481482,R,False,12,12,1.0000000243055556,0.029333979166666666,0.01945342210204295,0.18165999999999993
A[K/Q]x,Weak pair,16,576,10010.595230000004,0.6935497499338625,0.3061060596602183,0.0003442069113756614,F,False,0,0,,,0.005881469350089226,0.3765927360114
A[K/Q]x,Gutshot,16,591,4979.344147000004,0.0032006878472222223,0.9250711848162071,0.07172811825005222,C,False,16,16,0.9999999779040403,0.004528144510582011,0.0005772371223915746,0.2764992
ABB,OESD,3,17,122.443276,0.08747325,0.7799084166666667,0.13261837499999998,C,False,2,3,0.9083212499999999,0.1665355,0.002816856471073358,0.1081525086136
A[K/Q]x,OESD,2,8,150.15130000000002,0.0,0.8819686250000001,0.1180315,C,False,2,2,1.0000001666666667,0.0,9.230688261682147e-07,7.2074499996688244e-06
A[K/Q]x,Underpair,8,48,1284.6610999999998,0.02263964583333333,0.9773603541666667,0.0,C,False,0,0,,,0.00016449946302086348,0.006429226964999998
A[J-T]x,Low pocket pair,14,336,2783.185054999999,0.9942217797619047,0.005778220238095238,0.0,F,False,0,0,,,8.608695105509855e-05,0.0350671501593
A[J-T]x,Top pair,16,912,21218.475730000006,0.0,0.9830949725877193,0.01690503289473684,C,False,16,16,0.9999999906249999,0.0,2.2241609622477193e-05,0.009646852560000242
A[J-T]x,Air,16,620,7744.767288,1.0,0.0,0.0,F,False,16,16,0.0,1.0,0.0,0.0
A[J-T]x,Gutshot,16,770,7969.480293999999,0.055694573676762386,0.8549542668213118,0.08935114457355857,C,False,16,16,0.9918252180555557,0.07389795628924205,0.0036476123119899015,0.405386
A[J-T]x,Third pair,12,104,490.835126,0.060536273644179905,0.5762926580687832,0.36317103819444446,C/R,False,11,12,0.9999999886363636,0.1864729861111111,0.010701024069815272,0.19226461547000007
A[J-T]x,OESD,5,84,689.1032220000002,0.0,0.53195568,0.46804433,C/R,False,5,5,1.0,0.0,0.0024060229489925133,0.21043001579000062
A[J-T]x,Two pair+,16,310,3596.9679260000003,0.0,0.6806241661799888,0.3193758243421052,C,False,16,16,0.9999999687499999,0.0,0.001699487613003404,2.4131
A[J-T]x,Weak pair,15,384,8293.36022,0.8612755560846561,0.1386489831084656,7.547222222222222e-05,F,False,0,0,,,0.002869659178010014,0.23392279660199997
A[J-T]x,Second pair,16,493,7205.9521399999985,0.1842029660794776,0.6586330636865971,0.15716395767486693,C,False,16,16,0.9999999937499999,0.25016228267339546,0.0026627458658751804,0.31271343288000003
A[J-T]x,Underpair,16,240,6829.305499999998,0.11290853645833335,0.8859342222222221,0.0011572430555555559,C,False,0,0,,,0.0014664621149814085,0.0311257090254
A[9-2]x,Low pocket pair,18,312,1189.4364010000002,0.674670735802469,0.32522843009259256,0.00010082175925925925,F,False,0,0,,,0.009221035522387932,0.344061
A[9-2]x,Top pair,28,1812,41375.611470000105,0.0005066758658008658,0.9955913727813853,0.0039019500541125534,C,False,28,28,1.0000000013392856,0.0007269697204968943,1.185615317779322e-07,0.00013046800000040548
A[9-2]x,Air,28,3220,50360.02226099999,0.8647516429233678,0.13049909365986337,0.004749260782590053,F,False,28,28,0.3655672386482935,0.9965187097071345,0.014904762168574632,0.6370827629790001
A[9-2]x,Gutshot,25,287,2032.4561079999999,0.0,0.8595061351627173,0.14049386052325377,C,False,25,25,0.9999999855555556,0.0,0.00019764336188741826,0.22247941299000046
A[9-2]x,OESD,11,52,230.27752099999998,0.0,0.8827697553030305,0.11723026742424243,C,False,11,11,1.0000000303030303,0.0,4.839770599395809e-05,0.0053114919999998735
A[9-2]x,Third pair,14,97,282.6984989999999,0.0044896558441558446,0.4968892433441558,0.4986210174783549,R/C,False,14,14,0.9999999761904762,0.01646207142857143,0.025781313587427173,0.12790627563
A[9-2]x,Two pair+,28,326,3161.248762000001,0.0,0.7314237876471743,0.26857621867150705,C,False,28,28,0.9999999999999998,0.0,0.030336409932967594,4.680100000000001
A[9-2]x,Second pair,25,291,1920.1469150000016,0.0018005899999999997,0.4388898817777777,0.5593095362222222,R/C,False,25,25,0.9999999999999998,0.005401769999999999,0.00879933812391213,0.2953800000000001
A[9-2]x,Underpair,28,984,26503.83701,0.0080031618835034,0.9830720405541383,0.008924796626984128,C,False,0,0,,,0.0001543996374483431,0.025619601984000002
A[9-2]x,Weak pair,18,312,4099.276207999999,0.21350473549382717,0.7581244578703703,0.02837081296296297,C,False,0,0,,,0.008331525721123303,0.07758201311
BBB,Low pocket pair,4,162,1120.409554,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
BBB,Gutshot,4,362,4813.854575000001,0.40955537035237727,0.5884323693807488,0.0020122411257934964,C/F,False,4,4,0.5122205717147437,0.35578217510893245,0.24465386105244663,1.31045551623
BBB,Air,4,68,337.90704500000004,1.0,0.0,0.0,F,False,4,4,0.0,1.0,0.0,0.0
BBB,Top pair,3,36,341.81575,0.5168508333333333,0.4831491666666667,0.0,BDFD,True,3,3,0.72472375,1.0,0.0031387935083217688,0.026970798132000002
BBB,OESD,4,191,2034.9118810000004,0.03727595415273133,0.9503910082389903,0.01233304081340654,C,False,4,4,0.9166666666666667,0.03200409529842342,0.0014740086407014452,0.34147720000000004
BBB,Two pair+,4,214,1806.5684790000005,0.0,0.9790351451434349,0.020964874241913747,C,False,4,4,1.0000000555555555,0.0,7.1024013467670895e-06,0.03859254959999987
BBB,Third pair,2,6,0.271741,1.0,0.0,0.0,F,False,2,2,0.0,1.0,0.0,0.0
BBx,Low pocket pair,41,947,5391.561168000004,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
