flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1248,172447.5655999998,0.29280824938973066,0.7071917468434342,B,0.0009640005703745074,0.03387999999999991
A-high high,Top pair,22,1200,253981.52500000002,0.258957132027512,0.741042868271531,B,0.0005542313816586744,0.017167458659999822
A-high high,Air,22,724,53681.849068000054,0.5295033997445104,0.47049659322363246,X/B,0.0018951011074959557,0.056559999999999985
A-high high,Second pair,22,900,142914.32050000006,0.42232347152473065,0.5776765306848652,X/B,0.0013422391372979734,0.03633000000000024
A-high high,Air + draw,22,728,97607.46120000002,0.11339855820174144,0.8866014319087793,B,6.356085453237256e-05,0.021261772200000452
A-high high,Third pair,18,243,23119.10706799999,0.03998946713697824,0.960010542122281,B,7.650673637841563e-05,0.019180036979999926
A-high high,Two pair+,22,625,118949.64469999989,0.03272513937628027,0.9672748637705729,B,2.8620150323516537e-05,0.036136819589999904
A-high high,Underpair,11,72,15488.614000000001,0.6840850303030304,0.31591498484848485,X,0.004499923121784641,0.039665080919998985
A-high medium,Weak pair,16,720,86939.11960000006,0.3807523184523809,0.619247672061012,X/B,0.005351286412170658,0.07528500000000023
A-high medium,Top pair,16,912,192470.49700000015,0.4906965603070175,0.5093034364035087,X/B,0.0015910012812549736,0.043175000000000095
A-high medium,Air,16,620,61653.33194700005,0.5227453307646781,0.47725466449878245,X/B,0.0010602800988555397,0.044709999999999896
A-high medium,Air + draw,16,856,128575.93107100017,0.25323308192822797,0.7467669133499313,B,0.00021309532370541144,0.06940999999999989
A-high medium,Third pair,12,117,8969.31722,0.06608561944444445,0.9339143736111111,B,0.0002616935525295119,0.006584363829999873
A-high medium,Two pair+,16,326,63753.11269400001,0.025977056249999998,0.9740229465909089,B,2.4304460590908837e-05,0.002368609759999174
A-high medium,Second pair,16,495,66008.61820599991,0.5408547101430978,0.459145281523569,X/B,0.0018140847115069522,0.05829000000000022
A-high medium,Underpair,16,240,51636.31700000002,0.9255316111111112,0.07446839236111112,X,9.378445887309697e-05,0.0010270093400002623
A-high low,Weak pair,27,672,47906.19870000001,0.498550872016461,0.5014491291152263,X/B,0.013218851103267915,0.0777700000000003
A-high low,Top pair,28,1848,378493.3840000009,0.6040141872294372,0.395985804112554,X/B,0.0036829871559511894,0.06409999999999982
A-high low,Air,28,3220,433091.294414999,0.42757371117422294,0.5724262881704293,X/B,0.001371117748544261,0.04619999999999998
A-high low,Air + draw,26,244,16568.240782,0.026560801821095572,0.9734392021124708,B,4.538814218517535e-05,0.0025998150599999548
A-high low,Third pair,14,102,6287.647639000004,0.26159148214285716,0.7384085178571429,B,0.00641504293663088,0.08826
A-high low,Two pair+,28,380,59776.38348900001,0.01157217864684335,0.9884278213531567,B,6.159355531430964e-07,0.00018799923999921476
