"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","BTN_RESPONSE","done","0001_As_Kh_Qd","201","145","483873814344406","16513",""
"2","As Kh Jd","BTN_RESPONSE","done","0002_As_Kh_Jd","202","140","4942527115345","15135",""
"3","As Kh Td","BTN_RESPONSE","done","0003_As_Kh_Td","203","150","470507711172104","17390",""
"4","As Kh 9d","BTN_RESPONSE","done","0004_As_Kh_9d","203","140","498984426259995","15475",""
"5","As Kh 8d","BTN_RESPONSE","done","0005_As_Kh_8d","204","137","464913308620453","15679",""
"6","As Kh 7d","BTN_RESPONSE","done","0006_As_Kh_7d","204","140","483700305223465","16066",""
"7","As Kh 6d","BTN_RESPONSE","done","0007_As_Kh_6d","203","140","484129846096039","16150",""
"8","As Kh 5d","BTN_RESPONSE","done","0008_As_Kh_5d","204","137","470813602209091","15632",""
"9","As Kh 4d","BTN_RESPONSE","done","0009_As_Kh_4d","206","137","473791629076004","15625",""
"10","As Kh 3d","BTN_RESPONSE","done","0010_As_Kh_3d","207","137","46992152929306","16322",""
"11","As Kh 2d","BTN_RESPONSE","done","0011_As_Kh_2d","208","137","498139292001724","15184",""
"12","As Qh Jd","BTN_RESPONSE","done","0012_As_Qh_Jd","200","129","472518861293793","14666",""
"13","As Qh Td","BTN_RESPONSE","done","0013_As_Qh_Td","201","137","457861959934235","15505",""
"14","As Qh 9d","BTN_RESPONSE","done","0014_As_Qh_9d","201","137","473327994346619","15657",""
"15","As Qh 8d","BTN_RESPONSE","done","0015_As_Qh_8d","202","137","465749770402908","34240",""
"16","As Qh 7d","BTN_RESPONSE","done","0016_As_Qh_7d","202","145","493730932474136","16574",""
"17","As Qh 6d","BTN_RESPONSE","done","0017_As_Qh_6d","201","150","490589499473572","16631",""
"18","As Qh 5d","BTN_RESPONSE","done","0018_As_Qh_5d","202","145","498115450143814","15740",""
"19","As Qh 4d","BTN_RESPONSE","done","0019_As_Qh_4d","204","145","491812974214554","15756",""
"20","As Qh 3d","BTN_RESPONSE","done","0020_As_Qh_3d","205","137","496826171875","15737",""
"21","As Qh 2d","BTN_RESPONSE","done","0021_As_Qh_2d","206","137","48680192232132","16088",""
"22","As Jh Td","BTN_RESPONSE","done","0022_As_Jh_Td","203","129","465262860059738","14702",""
"23","As Jh 9d","BTN_RESPONSE","done","0023_As_Jh_9d","203","137","459552377462387","15755",""
"24","As Jh 8d","BTN_RESPONSE","done","0024_As_Jh_8d","204","129","47674897313118","15026",""
"25","As Jh 7d","BTN_RESPONSE","done","0025_As_Jh_7d","204","140","492962300777435","16794",""
"26","As Jh 6d","BTN_RESPONSE","done","0026_As_Jh_6d","203","145","495256811380386","16668",""
"27","As Jh 5d","BTN_RESPONSE","done","0027_As_Jh_5d","204","137","46154460310936","15630",""
"28","As Jh 4d","BTN_RESPONSE","done","0028_As_Jh_4d","206","129","468123137950897","15489",""
"29","As Jh 3d","BTN_RESPONSE","done","0029_As_Jh_3d","207","129","474766045808792","15145",""
"30","As Jh 2d","BTN_RESPONSE","done","0030_As_Jh_2d","208","129","488921850919724","14768",""
"31","As Th 9d","BTN_RESPONSE","done","0031_As_Th_9d","204","137","461973160505295","15690",""
"32","As Th 8d","BTN_RESPONSE","done","0032_As_Th_8d","205","129","473737984895706","15140",""
"33","As Th 7d","BTN_RESPONSE","done","0033_As_Th_7d","205","137","489941298961639","15230",""
"34","As Th 6d","BTN_RESPONSE","done","0034_As_Th_6d","204","140","490345865488052","16657",""
"35","As Th 5d","BTN_RESPONSE","done","0035_As_Th_5d","205","140","483931601047516","16273",""
"36","As Th 4d","BTN_RESPONSE","done","0036_As_Th_4d","207","137","477509677410126","15577",""
"37","As Th 3d","BTN_RESPONSE","done","0037_As_Th_3d","208","140","482140332460403","16641",""
"38","As Th 2d","BTN_RESPONSE","done","0038_As_Th_2d","209","137","498353689908981","15639",""
"39","As 9h 8d","BTN_RESPONSE","done","0039_As_9h_8d","205","137","465579926967621","15634",""
"40","As 9h 7d","BTN_RESPONSE","done","0040_As_9h_7d","205","120","491028100252151","14595",""
"41","As 9h 6d","BTN_RESPONSE","done","0041_As_9h_6d","204","129","492069959640503","15157",""
"42","As 9h 5d","BTN_RESPONSE","done","0042_As_9h_5d","205","137","481622189283371","15697",""
"43","As 9h 4d","BTN_RESPONSE","done","0043_As_9h_4d","207","137","476158142089844","16711",""
"44","As 9h 3d","BTN_RESPONSE","done","0044_As_9h_3d","208","137","487818509340286","15666",""
"45","As 9h 2d","BTN_RESPONSE","done","0045_As_9h_2d","209","137","491094172000885","16165",""
"46","As 8h 7d","BTN_RESPONSE","done","0046_As_8h_7d","206","120","478286027908325","15179",""
"47","As 8h 6d","BTN_RESPONSE","done","0047_As_8h_6d","205","129","480120629072189","15153",""
"48","As 8h 5d","BTN_RESPONSE","done","0048_As_8h_5d","206","137","463629990816116","15576",""
"49","As 8h 4d","BTN_RESPONSE","done","0049_As_8h_4d","208","140","494702011346817","16667",""
"50","As 8h 3d","BTN_RESPONSE","done","0050_As_8h_3d","209","140","485971808433533","16083",""
"51","As 8h 2d","BTN_RESPONSE","done","0051_As_8h_2d","210","137","494909346103668","15730",""
"52","As 7h 6d","BTN_RESPONSE","done","0052_As_7h_6d","205","129","459293216466904","15534",""
"53","As 7h 5d","BTN_RESPONSE","done","0053_As_7h_5d","206","137","4736148416996","15247",""
"54","As 7h 4d","BTN_RESPONSE","done","0054_As_7h_4d","208","137","461270391941071","15417",""
"55","As 7h 3d","BTN_RESPONSE","done","0055_As_7h_3d","209","137","457132786512375","15643",""
"56","As 7h 2d","BTN_RESPONSE","done","0056_As_7h_2d","210","137","469387263059616","16129",""
"57","As 6h 5d","BTN_RESPONSE","done","0057_As_6h_5d","205","137","472037017345428","15679",""
"58","As 6h 4d","BTN_RESPONSE","done","0058_As_6h_4d","207","129","496222019195557","15222",""
"59","As 6h 3d","BTN_RESPONSE","done","0059_As_6h_3d","208","137","471838712692261","15674",""
"60","As 6h 2d","BTN_RESPONSE","done","0060_As_6h_2d","209","137","468513280153275","15556",""
"61","As 5h 4d","BTN_RESPONSE","done","0061_As_5h_4d","208","137","466113150119781","16161",""
"62","As 5h 3d","BTN_RESPONSE","done","0062_As_5h_3d","209","137","48430597782135","16099",""
"63","As 5h 2d","BTN_RESPONSE","done","0063_As_5h_2d","210","140","488718271255493","16762",""
"64","As 4h 3d","BTN_RESPONSE","done","0064_As_4h_3d","211","137","489495277404785","17214",""
"65","As 4h 2d","BTN_RESPONSE","done","0065_As_4h_2d","212","137","496816396713257","16146",""
"66","As 3h 2d","BTN_RESPONSE","done","0066_As_3h_2d","213","140","493364304304123","16291",""
"67","Ks Qh Jd","BTN_RESPONSE","done","0067_Ks_Qh_Jd","208","120","494312882423401","13829",""
"68","Ks Qh Td","BTN_RESPONSE","done","0068_Ks_Qh_Td","210","120","486788004636765","14145",""
"69","Ks Qh 9d","BTN_RESPONSE","done","0069_Ks_Qh_9d","210","137","469315052032471","15613",""
"70","Ks Qh 8d","BTN_RESPONSE","done","0070_Ks_Qh_8d","211","129","470053970813751","15507",""
"71","Ks Qh 7d","BTN_RESPONSE","done","0071_Ks_Qh_7d","211","129","470739871263504","14698",""
"72","Ks Qh 6d","BTN_RESPONSE","done","0072_Ks_Qh_6d","210","129","485692411661148","15151",""
"73","Ks Qh 5d","BTN_RESPONSE","done","0073_Ks_Qh_5d","211","129","476407259702682","14710",""
"74","Ks Qh 4d","BTN_RESPONSE","done","0074_Ks_Qh_4d","213","121","498060822486877","14641",""
"75","Ks Qh 3d","BTN_RESPONSE","done","0075_Ks_Qh_3d","214","129","444334477186203","15170",""
"76","Ks Qh 2d","BTN_RESPONSE","done","0076_Ks_Qh_2d","215","121","493236303329468","14553",""
"77","Ks Jh Td","BTN_RESPONSE","done","0077_Ks_Jh_Td","211","113","495603084564209","13959",""
"78","Ks Jh 9d","BTN_RESPONSE","done","0078_Ks_Jh_9d","211","129","449078619480133","15186",""
"79","Ks Jh 8d","BTN_RESPONSE","done","0079_Ks_Jh_8d","212","120","458483338356018","14616",""
"80","Ks Jh 7d","BTN_RESPONSE","done","0080_Ks_Jh_7d","212","120","482780754566193","14982",""
"81","Ks Jh 6d","BTN_RESPONSE","done","0081_Ks_Jh_6d","211","113","499084919691086","14106",""
"82","Ks Jh 5d","BTN_RESPONSE","done","0082_Ks_Jh_5d","212","120","464859753847122","14719",""
"83","Ks Jh 4d","BTN_RESPONSE","done","0083_Ks_Jh_4d","214","113","497377097606659","14102",""
"84","Ks Jh 3d","BTN_RESPONSE","done","0084_Ks_Jh_3d","215","113","47978475689888","14117",""
