flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,324,51585.54609999997,0.9994908305555557,0.0005091694444444443,X,0.0,0.0
ABB,Air,6,436,51357.62819999999,1.0,0.0,X,0.0,0.0
ABB,Second pair,6,261,25369.378840000012,0.9993204775883838,0.0006794969336219337,X,0.0,0.0
ABB,Top pair,6,279,30851.224099999974,0.9995364449074075,0.00046355162037037034,X,0.0,0.0
ABB,Third pair,6,243,16856.44248999999,0.9938774147186148,0.006122598003848004,X,0.0,0.0
ABB,Gutshot,6,268,26776.77465000001,0.9996652079170829,0.0003347886437636437,X,0.0,0.0
ABB,Two pair+,6,270,23828.33203999999,0.9942684991663828,0.005731497487590428,X,0.0,0.0
A[K/Q]x,Weak pair,16,864,138680.97920000003,0.9996582245370371,0.0003417766203703704,X,0.0,0.0
A[K/Q]x,Air,16,1740,191131.92915999988,1.0,0.0,X,0.0,0.0
A[K/Q]x,Second pair,16,870,83174.24470000018,0.9992297979410331,0.0007701974150040132,X,0.0,0.0
A[K/Q]x,Top pair,16,888,105780.80099999998,0.9931821407772904,0.006817860075536061,X,5.5497583854081344e-09,2.600473000029524e-05
A[K/Q]x,Third pair,16,330,38237.06854999996,0.9453099751488094,0.05469001651785714,X,1.6262749789532105e-06,0.0005995978559999671
A[K/Q]x,Two pair+,16,236,25993.8744,0.9638718683035715,0.036128123883928574,X,3.118425878504696e-08,5.626000000802378e-06
A[K/Q]x,Gutshot,16,860,65962.7236999999,0.9920496121995193,0.007950382431891024,X,1.6483680126504685e-07,5.1962662000004654e-05
ABB,OESD,3,40,3926.6425,0.9977649944444443,0.002234963888888889,X,0.0,0.0
A[K/Q]x,OESD,2,32,2184.4904,0.998923,0.0010769999999999998,X,0.0,0.0
A[J-T][9-5],Weak pair,10,450,78672.25400000009,0.99999104375,8.954166666666666e-06,X,0.0,0.0
A[J-T][9-5],Air,10,1020,116863.69120999983,1.0,0.0,X,0.0,0.0
A[J-T][9-5],Top pair,10,540,59860.9012,0.9895642703703705,0.010435733333333332,X,1.4899163878633093e-06,0.0012166238100000727
A[J-T][9-5],Third pair,10,246,31265.383260000006,0.9675908957142856,0.032409095820105815,X,2.495129935647498e-09,4.535639998692886e-07
A[J-T][9-5],Gutshot,10,548,53438.69239000003,0.9771075392297979,0.02289244931186869,X,2.7648934081710224e-05,0.006711277580000008
A[J-T][9-5],Second pair,10,480,35989.161120000084,0.9977674290169867,0.0022325781258702307,X,3.9096721700101406e-10,2.656190000394076e-07
A[J-T][9-5],OESD,5,104,8675.413680000005,0.9818466962500001,0.01815329,X,0.0,0.0
A[J-T][9-5],Two pair+,10,191,25088.402710000002,0.9689096286854012,0.031090360788282922,X,0.0,0.0
A[J-T][4-2],Weak pair,6,270,47453.046000000024,0.9999402465277778,5.9749999999999995e-05,X,0.0,0.0
A[J-T][4-2],Gutshot,6,360,34350.987899999964,0.9374091611111112,0.06259084166666666,X,1.2128334421129272e-05,0.002027265230000008
A[J-T][4-2],Third pair,6,96,10399.51180000001,0.7934224511904762,0.20657755674603176,X,0.0005644641778838579,0.03895846754499992
A[J-T][4-2],Air,6,712,86663.50833999996,1.0,0.0,X,0.0,0.0
