flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
BBB,Two pair+,4,208,2930.7304720000006,0.0,1.0,C,False,4,4,1.0,0.0,0.0,0.0
BBB,Third pair,2,3,0.034929,1.0,0.0,F,False,1,2,0.0,1.0,0.0,0.0
BBx,Low pocket pair,41,922,3186.429077999996,1.0,0.0,F,False,0,0,,,0.0,0.0
BBx,Air,47,2263,28937.517742999942,0.9999956684818363,4.331518163730305e-06,F,False,47,47,5.810814885003016e-06,1.0,9.48123435550028e-10,1.8170603099999998e-05
BBx,Top pair,47,1899,26898.339301,0.2647139570509538,0.7352860456977838,C,False,47,47,0.9999880638297873,0.35697571004493156,0.010877831880011811,1.1206436
BBx,Third pair,47,341,3182.4971969999997,0.32216051557059966,0.6778394788738448,BDFD,True,45,47,0.9153716772222222,0.7210938372340425,0.04493559358912657,1.72516
BBx,Gutshot,47,2226,38447.546817999915,0.31725789876565835,0.682742093012527,C,False,47,47,0.9370923307624874,0.4300430542260983,0.03329121867575607,2.7729836
BBx,Two pair+,47,935,16114.245673000001,0.0,1.0,C,False,47,47,1.0,0.0,0.0,0.0
BBx,Second pair,47,1309,10070.358344000018,0.38452390739356046,0.6154760909662161,C/F,False,47,47,0.9999977606382978,0.5123317345392444,0.41835482341952296,1.1769450000000001
BBx,Overpair,47,444,11358.528099999996,0.02397533333333333,0.9760246607565013,C,False,0,0,,,2.9266101001521458e-05,0.006441405019999999
BBx,Weak pair,38,930,7393.021184000005,0.9351886885011077,0.06481130645503276,F,False,0,0,,,0.004415438820408735,0.291270032508
BBx,OESD,46,877,13548.684926999993,0.006235023629489603,0.9937649763705104,C,False,46,46,0.9988977441471573,0.02123087088274045,0.00040536771743935045,0.8938736
BBx,Underpair,20,162,2177.7613799999995,0.27906838333333334,0.720931625,C,False,0,0,,,0.006354696296296177,0.0587623962734
