hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R/C,R,R,R,C/R,R,R,R,R,R
Overpair,—,—,—,—,—,—,—,C,C,C
Top pair,C,C,C,C,BDFD,C,C,C,C,C
Underpair,—,—,C/F,C,—,C,C,C,C,C
Second pair,F,C,C/F,C,F,C,C,C,C,C
Weak pair,—,F,F,F,—,F,C/F,C,—,C
Third pair,F,BDFD,BDFD,C,F,C/F,C,C,C,C
Low pocket pair,F,F,F,F,F,F,F,F,F,F
OESD,R/C,C/R,R,R,C,R/C,R,R,R,R
Gutshot,C/F,C/R,C/R,C/R,F/C,C/F,R/C,R/C,R/C,C/R
2 overcards + BDFD,—,—,—,—,—,—,—,C,C,C/F
Air,F,F,F,F,F,F,F,F,F,F
