flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Low pocket pair,20,648,42190.55800000003,0.6617072397552909,0.33829277410052916,X,0.0009416823119800884,0.014909923414000126
A-high high,Top pair,22,996,42449.03271000002,0.6726281307643746,0.32737187246017874,X,0.005274848119753377,0.16126000000000004
A-high high,Air,22,880,23351.19950000001,0.9107032562886609,0.08929674471172766,X,0.0016522948783904944,0.05774244096000007
A-high high,Second pair,22,423,21330.284099999986,0.8650143373917747,0.13498566197691197,X,0.0010301767274180037,0.07394057467999993
A-high high,Gutshot,22,292,17035.848349999997,0.3411410628787878,0.6588589342803031,B,0.0033299571836584705,0.380273
A-high high,Two pair+,22,399,22471.10835,0.20426066199993176,0.7957393346221715,B,0.0009639506477527934,0.052527723680000804
A-high high,Third pair,20,204,7149.978340000005,0.2965445730555556,0.7034554269444444,B,0.006666706602548099,0.13190146017999993
A-high high,Weak pair,19,600,50766.78720000001,0.8310728110867445,0.1689271914473684,X,0.00048096004694859475,0.01275764685000027
A-high high,OESD,5,24,1389.3610000000003,0.288118025,0.7118818499999999,B,0.0012290371498947972,0.03007626115000015
A-high high,Underpair,1,6,259.0869,0.4579328333333333,0.5420671666666667,B/X,0.0011645928893140823,0.0023801355200003373
A-high medium,Low pocket pair,14,336,23217.855799999972,0.6075954062358278,0.392404581377551,X/B,0.0030182093227653023,0.041781500000000006
A-high medium,Top pair,16,792,40831.252339999985,0.6955577076388889,0.3044422747685185,X,0.003912153633197559,0.2388000000000005
A-high medium,Air,16,568,16645.420370000003,0.9442230540928257,0.05577694590717443,X,0.0011587910675756434,0.06131975472000004
A-high medium,Gutshot,16,452,27813.114729999994,0.3417445021701389,0.6582554842819939,B,0.001019930410910664,0.0846977978
A-high medium,Third pair,14,141,4496.58273,0.10402069246031745,0.8959793194444445,B,0.004346359870306249,0.1302900000000001
A-high medium,OESD,5,40,1898.5030799999995,0.111315875,0.8886841249999999,B,0.00011520330142454142,0.0014023529500001076
A-high medium,Two pair+,16,222,15810.519540000001,0.09018601522187822,0.9098139711751807,B,0.0002837465395345316,0.010684682449999627
A-high medium,Weak pair,15,384,40784.47729999999,0.8507693913624339,0.14923061214285713,X,0.00027267992037056395,0.009563808099999882
A-high medium,Second pair,16,207,14252.8488,0.739930362847222,0.2600696329861111,X,0.0011303930840288474,0.04151046917999999
A-high medium,Underpair,16,144,7643.480399999998,0.9916257083333333,0.008374291666666667,X,1.0350498861935482e-05,0.0003466692800000004
A-high low,Low pocket pair,21,336,22272.713099999997,0.5701873342592594,0.4298126714285715,X/B,0.0008450656031933499,0.00818248942000004
A-high low,Top pair,28,1512,90005.84375,0.7176579854497354,0.2823420125661375,X,0.0012686351561430713,0.05006929902000081
A-high low,Air,28,1700,102265.50769999991,0.8178206784411692,0.18217932021524127,X,0.0015494217900538737,0.05514297520000007
A-high low,Gutshot,28,220,9233.612749999997,0.026027310267857144,0.9739726897321427,B,0.0001451286713742153,0.0032864519000000312
