flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,47716.46699999995,1.0,0.0,X,False,0,0,,,0.0,0.0
ABB,Air,6,436,51357.62819999999,1.0,0.0,X,False,0,0,,,0.0,0.0
ABB,Second pair,6,117,13060.6521,0.9999407754629629,5.919675925925925e-05,X,False,0,0,,,0.0,0.0
ABB,Top pair,6,144,17208.39830000001,0.9995370208333334,0.0004629861111111111,X,False,0,0,,,0.0,0.0
ABB,Third pair,6,99,7573.212290000003,0.9999495740740741,5.042592592592593e-05,X,False,0,0,,,0.0,0.0
ABB,Gutshot,6,727,65880.6364900001,0.9970576427558241,0.0029423516610531755,X,False,0,0,,,0.0,0.0
ABB,Two pair+,6,270,23828.33203999999,0.9942684991663828,0.005731497487590428,X,False,0,0,,,0.0,0.0
A[K/Q]x,Low pocket pair,14,336,59859.873999999996,1.0,0.0,X,False,0,0,,,0.0,0.0
A[K/Q]x,Air,16,1740,191131.92915999988,1.0,0.0,X,False,0,0,,,0.0,0.0
A[K/Q]x,Second pair,16,870,83174.24470000018,0.9992297979410331,0.0007701974150040132,X,False,0,0,,,0.0,0.0
A[K/Q]x,Top pair,16,888,105780.80099999998,0.9931821407772904,0.006817860075536061,X,False,0,0,,,5.5497583854081344e-09,2.600473000029524e-05
A[K/Q]x,Third pair,16,330,38237.06854999996,0.9453099751488094,0.05469001651785714,X,False,0,0,,,1.6262749789532105e-06,0.0005995978559999671
A[K/Q]x,Two pair+,16,236,25993.8744,0.9638718683035715,0.036128123883928574,X,False,0,0,,,3.118425878504696e-08,5.626000000802378e-06
A[K/Q]x,Weak pair,16,528,78821.10519999995,0.9995871953910384,0.00041280547701719585,X,False,0,0,,,0.0,0.0
A[K/Q]x,Gutshot,16,860,65962.7236999999,0.9920496121995193,0.007950382431891024,X,False,0,0,,,1.6483680126504685e-07,5.1962662000004654e-05
ABB,OESD,3,40,3926.6425,0.9977649944444443,0.002234963888888889,X,False,0,0,,,0.0,0.0
A[K/Q]x,OESD,2,32,2184.4904,0.998923,0.0010769999999999998,X,False,0,0,,,0.0,0.0
A[J-T]x,Low pocket pair,14,336,61313.92200000005,1.0,0.0,X,False,0,0,,,0.0,0.0
A[J-T]x,Air,16,1732,203527.19954999987,1.0,0.0,X,False,0,0,,,0.0,0.0
A[J-T]x,Top pair,16,864,96508.65889999998,0.9796702928240741,0.020329712962962963,X,False,0,0,,,8.859323088060186e-06,0.012534743519999836
A[J-T]x,Third pair,16,342,41664.89505999996,0.9022777290178573,0.09772226866732805,X,False,0,0,,,0.00014089150785861142,0.03895846754499992
A[J-T]x,Gutshot,16,908,87789.68028999997,0.9622206474352905,0.03777934644491793,X,False,0,0,,,2.1575920381464526e-05,0.006711277580000008
A[J-T]x,Second pair,16,786,59509.571159999985,0.9954231494952659,0.004576853872528545,X,False,0,0,,,2.364423384510159e-10,2.656190000394076e-07
A[J-T]x,OESD,5,104,8675.413680000005,0.9818466962500001,0.01815329,X,False,0,0,,,0.0,0.0
A[J-T]x,Two pair+,16,293,39778.71721000001,0.9455754443989639,0.05442455637502976,X,False,0,0,,,2.9334906568868264e-07,6.101399999920431e-05
A[J-T]x,Weak pair,15,384,64811.37800000008,0.9999458944973545,5.4101891534391535e-05,X,False,0,0,,,0.0,0.0
A[J-T]x,Underpair,8,48,4679.110100000001,0.9999989791666666,1.0208333333333334e-06,X,False,0,0,,,0.0,0.0
A[9-2]x,Low pocket pair,18,312,60311.556000000164,0.9974185874999999,0.0025814078703703704,X,False,0,0,,,2.7853531687738717e-06,0.0008460426780000141
A[9-2]x,Air,28,5052,506883.8151400012,0.9896211925949141,0.010378806644143706,X,False,0,0,,,0.00027534353262212777,0.060029544275999935
A[9-2]x,Top pair,28,1728,209037.0719,0.9184676538071369,0.08153234664041055,X,False,0,0,,,2.3637138698812727e-05,0.012844861540001062
A[9-2]x,Gutshot,28,792,96206.66532999987,0.8785165112458143,0.12148351361204797,X,False,0,0,,,0.0020100008825309403,0.06754220227999994
A[9-2]x,Third pair,28,453,53991.92010000006,0.8480763154195012,0.15192368915816323,X,False,0,0,,,0.0007412080890007084,0.035044315469999886
A[9-2]x,Second pair,28,663,83786.22863000001,0.8805081197004055,0.11949188515254586,X,False,0,0,,,0.0005808756038204692,0.04659915092000002
A[9-2]x,OESD,16,156,20534.10718999998,0.7779405494791668,0.22205945572916666,X,False,0,0,,,0.0001592457529162186,0.009451513140000145
A[9-2]x,Two pair+,28,342,54850.40979999995,0.7256962550595237,0.2743037400297619,X,False,0,0,,,0.0016727777930007324,0.11773000000000025
A[9-2]x,Underpair,28,648,96939.79880000006,0.986117297718254,0.013882699305555553,X,False,0,0,,,1.8517264968434464e-05,0.0012505260000001072
A[9-2]x,Weak pair,18,312,57685.136999999995,0.978759400617284,0.021240600154320985,X,False,0,0,,,0.0,0.0
BBB,Low pocket pair,4,162,28643.43699999998,1.0,0.0,X,False,0,0,,,0.0,0.0
BBB,Air,4,224,27601.12499999999,1.0,0.0,X,False,0,0,,,0.0,0.0
BBB,Top pair,4,75,9086.661099999996,0.999804369047619,0.00019561904761904763,X,False,0,0,,,0.0,0.0
BBB,Gutshot,4,389,46334.18903999994,0.9982111210598499,0.001788874083950113,X,False,0,0,,,0.0,0.0
BBB,Second pair,4,39,3191.9335,0.9999941666666666,5.833333333333333e-06,X,False,0,0,,,0.0,0.0
BBB,OESD,4,276,26556.828879999997,0.9982189145949074,0.0017810854050925931,X,False,0,0,,,0.0,0.0
BBB,Third pair,4,30,3093.7235,0.9999807222222222,1.9277777777777776e-05,X,False,0,0,,,0.0,0.0
BBB,Two pair+,4,218,20186.63019,0.9898441467833231,0.010155857248934877,X,False,0,0,,,0.0,0.0
BBx,Low pocket pair,41,948,180700.27099999998,1.0,0.0,X,False,0,0,,,0.0,0.0
BBx,Air,47,4776,613582.8394999981,0.9999996548116901,3.4518831010026895e-07,X,False,0,0,,,0.0,0.0
BBx,Top pair,47,2253,238159.2954,0.9978599998099474,0.0021399988341908862,X,False,0,0,,,4.556302507610368e-09,3.1921800001555313e-06
BBx,Second pair,47,2169,203757.3342300007,0.9989381011218185,0.0010618988746268503,X,False,0,0,,,3.6215031651123244e-09,1.8932899997992082e-06
BBx,Third pair,47,933,121507.81790000004,0.9959203339834513,0.004079668054148373,X,False,0,0,,,3.9632643687145586e-07,0.000140773799999927
BBx,Gutshot,47,2662,303024.4325900001,0.9975361706234873,0.002463832113572154,X,False,0,0,,,8.71954641443774e-09,1.6756621000002526e-05
BBx,Two pair+,47,958,104909.71829999993,0.9957127215129835,0.004287275797068374,X,False,0,0,,,9.145622909840728e-09,8.46773999967354e-06
BBx,Weak pair,38,1140,198445.46950000027,1.0,0.0,X,False,0,0,,,0.0,0.0
BBx,OESD,46,1139,105162.00234,0.9965734300664117,0.0034265584299651903,X,False,0,0,,,3.402744675282347e-09,1.8146200002178148e-06
BBx,Underpair,13,78,7983.103499999996,1.0,0.0,X,False,0,0,,,0.0,0.0
K/Qx,Low pocket pair,42,672,135918.54900000017,0.9999282713624338,7.172929894179892e-05,X,False,0,0,,,0.0,0.0
K/Qx,Air,56,9776,1155069.6537100072,0.9936682096361914,0.006331791134891678,X,False,0,0,,,1.0250037303460556e-06,0.014469422939999976
K/Qx,Top pair,56,3462,360946.84889999975,0.9740638431083796,0.025936155217996287,X,False,0,0,,,1.0188111314957355e-05,0.025449466960000677
